,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
2015-03-20-maryland,60.0,12,5.3,1,104.8,85.7,18,0.464,56,0.357,20,0.321,18,0.556,10,6,200,100.0,25.0,9,19,62,13,8.1,5,0.482,27,0.444,12,47.4,27,0.48,12.3,9,29,0.276,8,0.824,28,"March 20, 2015",47.4,9,17.2,5,100.0,75.0,27,0.588,40,0.475,19,0.6,24,0.75,18,6,200,104.8,14.3,3,19,65,4,8.1,5,0.525,21,0.429,9,52.6,30,0.632,17.9,11,19,0.526,10,0.824,28,"Nationwide Arena, Columbus, Ohio",VALPARAISO,Valparaiso,62.0,Home,MARYLAND,Maryland
2015-03-22-maryland,45.8,11,4.0,1,92.2,68.0,17,0.458,60,0.4,24,0.317,19,0.737,14,9,200,107.8,38.9,14,20,69,5,23.4,15,0.317,19,0.368,7,50.8,31,0.5,12.8,10,41,0.415,17,0.735,25,"March 22, 2015",33.3,7,17.1,7,107.8,61.1,22,0.568,44,0.477,21,0.295,13,0.692,9,7,200,92.2,32.0,8,19,59,4,6.3,4,0.432,19,0.421,8,49.2,30,0.588,29.7,21,25,0.52,13,0.8,28,"Nationwide Arena, Columbus, Ohio",MARYLAND,Maryland,64.1,Away,WEST-VIRGINIA,West Virginia
2015-03-19-ohio-state,58.3,14,4.8,2,105.6,76.7,23,0.46,63,0.381,24,0.302,19,0.737,14,10,225,101.4,35.3,12,17,72,7,5.6,4,0.413,26,0.385,10,54.7,35,0.5,13.4,11,37,0.378,14,0.722,26,"March 19, 2015",57.1,16,18.9,7,101.4,64.7,22,0.544,57,0.491,28,0.386,22,0.591,13,10,225,105.6,23.3,7,17,75,10,7.0,5,0.263,15,0.4,6,45.3,29,0.556,14.2,11,42,0.524,22,0.706,24,"Moda Center, Portland, Oregon",VIRGINIA-COMMONWEALTH,VCU,63.3,Home,OHIO-STATE,Ohio State
2015-03-21-arizona,45.0,9,6.8,3,110.6,51.4,18,0.433,52,0.385,20,0.288,15,0.867,13,11,200,87.9,17.2,5,17,58,10,6.1,4,0.327,17,0.294,5,35.9,23,0.49,17.0,12,35,0.429,15,0.686,24,"March 21, 2015",60.9,14,11.4,4,87.9,82.8,24,0.421,63,0.365,23,0.381,24,0.833,20,3,200,110.6,48.6,17,13,73,2,13.6,9,0.302,19,0.368,7,64.1,41,0.491,9.8,8,44,0.364,16,0.917,33,"Moda Center, Portland, Oregon",OHIO-STATE,Ohio State,65.8,Home,ARIZONA,Arizona
2016-03-18-iowa,40.0,12,7.3,3,100.0,76.1,35,0.485,66,0.455,30,0.136,9,0.667,6,12,225,97.2,28.6,10,21,70,10,2.8,2,0.273,18,0.222,4,55.6,45,0.498,14.6,12,48,0.542,26,0.636,21,"March 18, 2016",54.2,13,6.3,3,97.2,71.4,25,0.399,69,0.348,24,0.319,22,0.773,17,10,225,100.0,23.9,11,15,72,7,8.3,6,0.406,28,0.25,7,44.4,36,0.453,3.7,3,41,0.415,17,0.688,22,"Barclays Center, Brooklyn, New York",TEMPLE,Temple,63.9,Home,IOWA,Iowa
2016-03-20-villanova,51.9,14,8.6,3,124.3,78.3,18,0.508,60,0.45,27,0.217,13,0.538,7,11,200,97.1,25.8,8,19,68,7,8.6,6,0.4,24,0.292,7,48.1,26,0.514,16.5,13,36,0.556,20,0.667,22,"March 20, 2016",71.9,23,11.1,4,97.1,74.2,23,0.685,54,0.593,32,0.315,17,0.765,13,5,200,124.3,21.7,5,16,87,2,12.9,9,0.352,19,0.526,10,51.9,28,0.701,16.3,12,35,0.629,22,0.861,31,"Barclays Center, Brooklyn, New York",IOWA,Iowa,70.1,Home,VILLANOVA,Villanova
2017-03-17-miami-fl,60.0,18,8.3,3,92.1,83.3,25,0.623,53,0.566,30,0.264,14,0.857,12,14,200,123.8,40.9,9,18,78,9,1.6,1,0.377,20,0.3,6,65.4,34,0.654,16.9,12,33,0.727,24,0.588,20,"March 17, 2017",38.1,8,3.0,1,123.8,59.1,13,0.442,52,0.404,21,0.327,17,0.706,12,12,200,92.1,16.7,5,17,58,8,14.3,9,0.308,16,0.25,4,34.6,18,0.483,11.9,8,36,0.472,17,0.636,21,"BOK Center, Tulsa, Oklahoma",MIAMI-FL,Miami (FL),62.9,Away,MICHIGAN-STATE,Michigan State
2017-03-19-kansas,52.0,13,2.3,1,126.8,76.9,20,0.509,57,0.439,25,0.298,17,0.706,12,15,200,98.6,12.5,4,14,70,9,4.2,3,0.404,23,0.348,8,41.4,24,0.538,13.4,10,34,0.5,17,0.571,20,"March 19, 2017",35.3,12,8.8,3,98.6,87.5,28,0.594,64,0.531,34,0.234,15,0.933,14,4,200,126.8,23.1,6,16,90,1,12.7,9,0.313,20,0.4,8,58.6,34,0.633,7.8,6,44,0.591,26,0.882,30,"BOK Center, Tulsa, Oklahoma",MICHIGAN-STATE,Michigan State,71.1,Home,KANSAS,Kansas
2017-03-16-northwestern,42.9,9,12.8,5,101.5,78.6,22,0.464,55,0.382,21,0.327,18,0.833,15,16,200,98.5,21.9,7,16,66,9,10.4,7,0.473,26,0.346,9,48.3,29,0.519,13.7,10,29,0.414,12,0.543,19,"March 16, 2017",38.5,10,0.0,0,98.5,78.1,25,0.547,53,0.491,26,0.34,18,0.556,10,11,200,101.5,21.4,6,18,68,8,10.4,7,0.264,14,0.429,6,51.7,31,0.552,16.5,12,39,0.513,20,0.686,24,"Vivint Smart Home Arena, Salt Lake City, Utah",VANDERBILT,Vanderbilt,67.1,Home,NORTHWESTERN,Northwestern
2017-03-18-gonzaga,44.4,12,11.6,5,105.3,60.0,21,0.47,66,0.409,27,0.197,13,0.846,11,12,200,97.3,30.6,11,26,73,8,14.7,11,0.364,24,0.333,8,45.1,32,0.506,15.3,13,42,0.452,19,0.667,24,"March 18, 2017",38.5,10,16.7,7,97.3,69.4,25,0.475,59,0.441,26,0.61,36,0.639,23,1,200,105.3,40.0,14,18,79,1,9.3,7,0.271,16,0.25,4,54.9,39,0.519,14.8,13,43,0.512,22,0.971,34,"Vivint Smart Home Arena, Salt Lake City, Utah",NORTHWESTERN,Northwestern,74.6,Home,GONZAGA,Gonzaga
2018-03-16-19-michigan-state,56.5,13,2.4,1,120.6,67.7,21,0.518,55,0.418,23,0.509,28,0.75,21,10,200,114.7,21.2,7,23,78,14,4.4,3,0.364,20,0.55,11,43.8,28,0.571,10.6,8,35,0.343,12,0.714,25,"March 16, 2018",67.7,21,17.1,6,114.7,78.8,26,0.578,58,0.534,31,0.379,22,0.682,15,4,200,120.6,32.3,10,22,82,3,5.9,4,0.293,17,0.294,5,56.3,36,0.599,11.7,9,41,0.634,26,0.882,30,"Little Caesars Arena, Detroit, Michigan",BUCKNELL,Bucknell,68.4,Home,MICHIGAN-STATE,Michigan State
2018-03-18-14-michigan-state,20.0,3,20.7,6,84.1,43.5,20,0.369,42,0.357,15,0.738,31,0.774,24,13,200,87.3,18.2,4,20,55,11,7.9,5,0.19,8,0.125,1,35.3,24,0.485,16.5,11,34,0.412,14,0.639,23,"March 18, 2018",64.7,11,5.9,2,87.3,81.8,18,0.318,66,0.258,17,0.242,16,0.688,11,5,200,84.1,56.5,26,22,53,3,6.3,4,0.561,37,0.216,8,64.7,44,0.36,16.1,14,29,0.31,9,0.857,30,"Little Caesars Arena, Detroit, Michigan",MICHIGAN-STATE,Michigan State,62.7,Away,SYRACUSE,Syracuse
