Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Clemson,21.9,0.351,18.8,0.352,55.6,0.492,55.6,0.454,16.5,18,18.5,15.9,0.723,10.1,11.5,65.6,9.1,8.9,22.9,22,0.548,0.375,7.1
Cleveland St,16.5,0.32,18.1,0.355,54.4,0.434,51.9,0.507,21.4,17.4,16.8,24.2,0.687,14.4,13.2,68,8.8,8.5,20.8,23.1,0.233,0.556,-2.3
Coastal Car,21,0.334,23.9,0.309,56.8,0.491,59.5,0.462,17.7,17.7,20.3,18.8,0.666,12.7,10.4,69.4,9.7,9.4,25.6,22.5,0.6,0.583,-3.8
Col Charlestn,19,0.34,17.3,0.32,55.4,0.456,50,0.482,20.2,18.4,18.2,21.5,0.666,12.7,14.1,67.5,9.1,7,22.3,23.3,0.533,0.467,-0.2
Colgate,23.4,0.37,19.7,0.375,55.1,0.503,53,0.514,19.4,17.8,16.5,22.2,0.678,12.1,12.9,67.8,7.4,8.5,20.9,23.7,0.414,0.222,-3.6
Colorado,19.1,0.386,17.3,0.353,59.5,0.439,59.9,0.443,18.8,20.7,24.1,21.4,0.733,13.4,10.9,73.1,11.2,7.8,26.9,22.4,0.636,0.583,6.2
Colorado St,26.3,0.362,23.6,0.354,60.7,0.465,60.3,0.514,19.6,22.8,25.7,21.2,0.718,11.6,10.2,73.3,10.7,7.8,25.8,24.3,0.5,0.5,-0.3
Columbia,24.9,0.381,20.9,0.357,55.5,0.505,54.2,0.502,18.5,17.8,21,18.8,0.733,10.5,12.6,67.8,8.5,7.6,22.8,22,0.697,0.5,-1.1
Connecticut,19.4,0.365,20.4,0.326,57.7,0.5,56.4,0.421,18.3,16.4,17.1,20,0.793,10.8,12,69,7.9,8.7,25.1,22.1,0.694,0.333,7.6
Coppin State,23.3,0.334,19.5,0.367,62.3,0.405,60.8,0.518,21.6,20.7,23.2,26.2,0.701,13,13.2,75.5,10.6,11.1,22.4,26,0.241,0.222,-9
Cornell,24.4,0.342,22,0.364,59.9,0.469,61.3,0.498,20.4,18.1,19.3,22,0.653,13.1,14.4,74.8,7.2,11.6,21.6,28.4,0.333,0.6,-2.1
Creighton,23,0.352,20.1,0.346,59.5,0.545,59.7,0.475,18.9,19.9,22.3,20,0.7,11.6,12.6,73.3,8.2,8.5,26,24.1,0.571,0.125,6.9
CS Bakersfld,15.7,0.343,17.9,0.334,58,0.485,53.8,0.428,21.4,19.8,22.1,22.6,0.654,12.4,14.7,70.2,10.8,8.9,24.2,21.6,0.7,0.4,-3.9
CS Fullerton,19.4,0.333,22,0.366,56.4,0.444,57.9,0.482,20.9,20.4,24.6,23,0.693,13.3,11.4,71.6,9.4,9.1,23.8,24.3,0.286,0.429,-2.9
Dartmouth,16.3,0.343,21.6,0.351,56.6,0.459,53.6,0.527,20.4,20.6,21.6,22.6,0.719,14.4,14.5,70.4,10.5,8.7,22.3,22.4,0.333,0,-2.5
Davidson,27.1,0.355,21.6,0.343,61.3,0.511,62.4,0.522,17.4,19.4,19.8,19.1,0.763,10.2,11.3,72.7,8.1,10.1,23.6,26.6,0.594,0.833,3.8
Dayton,19.5,0.344,21,0.349,55.6,0.516,57,0.437,19,19.7,22.7,18.7,0.668,12.9,12.5,70.9,8.4,7.5,26.9,23.6,0.758,0.786,4.6
Delaware,17.2,0.325,28.3,0.348,55.4,0.437,60,0.514,17.8,20.2,23.4,19.1,0.685,11.9,9.2,69.1,9.1,9.4,25.1,24.9,0.233,0.429,-0.6
Delaware St,21.5,0.324,23.9,0.333,55.9,0.424,56.4,0.528,19.9,17.6,16.3,23.3,0.609,14.1,13.4,69.4,8.1,11.7,19.5,25.4,0.167,0.5,-9.9
Denver,19.8,0.383,16.8,0.37,46.7,0.543,47.7,0.499,19.1,17.7,17.1,20.7,0.77,12.9,14.2,63.5,4.6,7.9,18.8,21.1,0.516,0.5,-3.1
DePaul,15.8,0.343,21.8,0.364,54.5,0.486,55.2,0.492,22.2,19.5,19.9,24.7,0.68,14.3,11.7,69.8,8.8,8.6,22.6,21.8,0.29,0.6,5.2
Detroit,20.6,0.365,21.8,0.356,62.2,0.506,59.6,0.537,22.9,22,25.2,27.7,0.696,13.4,13,77,10.4,8.9,23.4,23.9,0.483,0.333,-1.7
Drake,18.2,0.382,18.6,0.377,52.9,0.472,58,0.496,18,18.8,17.8,17.7,0.73,13.5,9.7,68.2,6.4,8.1,23.4,22.7,0.2,0.125,-1.6
Drexel,16.7,0.327,16.3,0.365,55.3,0.423,51.2,0.515,21.6,19.3,20.4,24.3,0.691,11,11.9,67.3,8.6,7.5,21,24.9,0.2,0.375,0
Duke,23.6,0.385,18.5,0.34,59.3,0.51,62.3,0.489,16.8,21.1,24.1,15.8,0.723,9.8,11.9,70.5,10.2,11,22.4,22.5,0.694,0.4,10.4
Duquesne,26.2,0.366,23.8,0.402,60.4,0.531,62.7,0.428,20.7,18.8,20.3,24.2,0.691,13.9,11.5,75.5,8.8,10,27.2,24.8,0.485,0.4,0.7
E Carolina,21.3,0.34,23.5,0.331,55.9,0.478,59.7,0.522,16.8,16.4,19.4,16,0.697,13.3,12.6,69.7,8.4,10.5,22.5,23.3,0.375,0.429,0.9
E Illinois,22,0.344,20.8,0.335,57.4,0.488,57.2,0.52,20.1,20,19.8,23.2,0.658,12.5,13.6,70.6,8.9,11,21.6,25.3,0.393,0.5,-4.7
E Kentucky,21,0.395,21.4,0.376,56.4,0.542,58.6,0.513,21.6,21.6,22.7,24.8,0.735,14.8,14.9,74.7,7.4,10.4,21.9,22.7,0.467,0.286,-3.8
E Michigan,18.7,0.315,23.2,0.368,58.7,0.495,58.8,0.476,21.3,21.6,25.5,25.2,0.73,12.5,15.1,73.7,9.9,11.9,21.7,23.8,0.483,0.375,-0.5
E Tenn St,21.6,0.383,21.8,0.341,58.8,0.504,58.5,0.501,20.1,18.8,20.5,23.3,0.702,12.9,12.6,72.8,8.5,9.4,23.7,23.9,0.647,0.8,-1.6
E Washingtn,26.8,0.384,15.7,0.374,57.7,0.554,57.9,0.533,19.3,19,20.7,21.9,0.686,11.2,11.1,71,7.7,8.4,22.1,23.9,0.5,0.286,-4.4
Elon,27.2,0.339,19.1,0.353,60.3,0.526,61.8,0.491,19.4,19.3,18.3,20.6,0.667,12.7,11.3,73.3,8.4,9.6,24.9,25.6,0.467,0.462,-0.9
Evansville,13.2,0.359,18.5,0.326,52.5,0.532,57.8,0.444,17.7,21,24.7,17,0.726,12.6,12.7,70.8,6.5,7.3,26,22,0.727,0.429,0.8
*F Dickinson,20,0.364,20.9,0.354,60.9,0.495,57.4,0.521,21.7,19.3,20.3,26.9,0.696,12.9,15.3,74.5,8.8,11.1,20.6,25.3,0.531,0.636,-6.6
Fairfield,25.1,0.354,22.7,0.337,60.3,0.5,62.8,0.491,19.2,19.3,19.7,21.4,0.737,12.9,13.9,75.4,7.6,11.2,24.1,25.8,0.576,0.8,-2.2
Fla Atlantic,20.8,0.341,14.8,0.354,56.5,0.442,58.8,0.49,19.3,16.8,18.2,22.2,0.724,12.1,11.4,70.5,6.8,10.3,22.5,27,0.226,0.286,-4
*Fla Gulf Cst,14.8,0.342,22.1,0.311,59.9,0.515,60.8,0.483,19.5,19.1,22.3,21.5,0.642,12.4,11.3,73.3,9.6,9,26.2,22.8,0.548,0.6,-5
Florida,22.5,0.319,18.9,0.343,60.7,0.488,58.6,0.444,19.4,20.3,24,20.9,0.648,11.2,13.1,72.2,11.5,9.1,25.2,24.4,0.583,0.455,9.2
Florida A&M,19.1,0.304,20.3,0.333,54.6,0.444,57.9,0.504,19.4,20.1,23.2,22.3,0.589,16.2,14.6,74.1,7.6,9.2,22.7,26.7,0.222,0.556,-11.7
Florida Intl,15.7,0.368,22.7,0.331,55.8,0.507,59.4,0.471,19.1,17.6,19.8,21.2,0.672,13.1,9.6,69.4,8.9,9.6,25.1,21.9,0.367,0.111,-4.9
Florida St,19,0.341,21.6,0.362,60.1,0.521,58.3,0.489,19.3,19.6,22.7,21.4,0.695,12.8,13.5,73.3,10.1,8.7,23.9,21.8,0.588,0.556,8.2
Fordham,22.7,0.346,20.7,0.334,56.4,0.512,52.5,0.523,19.7,18.1,18.9,21.3,0.683,13.9,15.4,70.4,9.1,7.3,22.9,22.4,0.533,0.5,-0.7
Fresno St,18.3,0.344,21.6,0.33,60.5,0.47,55,0.484,22.3,20,22.8,25.5,0.698,10.7,14.9,72.6,9.7,9,23.8,24.9,0.697,0.8,0.9
Furman,22,0.319,19.2,0.35,52.2,0.542,53.4,0.499,18.1,19.5,22.6,20.3,0.696,13.5,12.7,67.6,8.9,8.1,22.3,20.7,0.515,0.417,-3.1
GA Southern,26.5,0.333,23,0.338,60.4,0.456,56.6,0.525,22.3,19,22.8,25.2,0.71,11.4,14.1,72.8,9.1,10.6,21.5,25.8,0.414,0.667,-3
GA Tech,16.6,0.357,17.9,0.32,59.7,0.484,58.5,0.495,17.9,17.7,18.9,18.5,0.722,11.1,9.8,68.8,11.6,7.9,24.6,20.3,0.583,0.571,8.8
Gard-Webb,24.1,0.336,21.1,0.347,60.4,0.46,56.7,0.511,20.3,18.5,21.1,22.5,0.654,13.1,13.2,72.3,10.7,8.8,22.9,25.4,0.467,0.546,-4.2
Geo Mason,18.4,0.292,21.3,0.353,59,0.457,61.2,0.46,17.8,18.4,20.3,18.3,0.671,12.7,6.9,69.8,11.4,7.1,27.4,24.1,0.344,0.571,2
Geo Wshgtn,19.1,0.371,20.9,0.33,57.7,0.484,58.6,0.482,16.3,20.3,22.6,15.8,0.753,11.2,11.9,69.6,10,8.6,24.8,21.2,0.737,0.667,4.5
Georgetown,23.3,0.339,17.3,0.349,56.3,0.514,55.7,0.441,22.9,19.3,21.3,27.5,0.751,13.2,11.2,71.3,8.1,8.9,24.5,22.6,0.455,0.273,7.6
Georgia,17.6,0.368,23,0.331,55.6,0.447,58.1,0.428,20.7,21,24.2,23.9,0.708,13,10.7,70.6,9.5,9.7,25.4,22.6,0.588,0.5,6.5
Georgia St,14.4,0.348,21.2,0.328,52.9,0.471,52.1,0.47,19.3,18.1,19.8,21.5,0.694,11.9,14,67.4,6.7,8.9,20.9,23.4,0.5,0.6,-1.9
Gonzaga,20.5,0.379,19.8,0.303,57.6,0.543,60.4,0.444,17.4,19.5,19.8,17,0.758,11.6,10.2,69.9,8.8,8.7,27.2,20.5,0.771,0.462,6
Grambling St,18,0.274,20.1,0.332,51,0.454,54.5,0.515,20.4,18.5,22.5,22.6,0.648,14.8,13.6,69.3,7.1,9.4,21.3,24.9,0.143,0.273,-11.3
Grd Canyon,17.3,0.356,20.2,0.317,58.4,0.483,56.9,0.484,18.3,21.6,24.3,20,0.692,11.8,13.3,71.5,9.8,8.5,24.6,22.9,0.781,0.571,-4.6
Hampton,21.3,0.305,19.9,0.338,61.4,0.473,60.4,0.475,20.2,21.4,25.3,21.5,0.656,13.6,12.2,74.8,11.6,8.6,24.8,24.1,0.645,0.727,-7.2
Hartford,26.8,0.354,20.4,0.347,57.6,0.456,59.5,0.54,21.5,19.1,19.1,24.4,0.748,11.7,12.9,72.4,5.8,11.8,21.1,28,0.281,0.375,-5.8
Harvard,19,0.391,19.8,0.314,54.5,0.482,57.6,0.464,18.1,18,17.3,19.3,0.59,14.5,11.4,69,8.6,8.6,24.3,22.7,0.429,0.5,-0.4
Hawaii,22,0.322,18.9,0.3,56.7,0.541,56.2,0.448,20.7,22.7,25.8,22.6,0.689,12.8,14.2,72.8,9,8.1,25.5,22,0.813,0.667,-0.1
High Point,15.6,0.382,21.2,0.347,57.5,0.498,55.4,0.533,17.7,18.4,20.1,17.9,0.76,10.7,14,68.6,9.2,9,20.4,21.2,0.621,0.429,-3.2
Hofstra,24,0.356,21.6,0.353,60.2,0.501,63.9,0.483,16,20,23.8,15.3,0.693,11.9,11.6,73,10.5,9.7,25.4,24,0.697,0.6,1.4
*Holy Cross,22,0.326,21.8,0.357,53.7,0.472,53.5,0.528,16.7,18.6,19.4,17.9,0.687,10.9,12.9,67.2,6.4,8,20.6,24.7,0.429,0.6,-3.8
Houston,19.3,0.348,20.1,0.303,60.2,0.521,57.7,0.483,19,18.7,20.7,20.8,0.705,10.4,12.4,69.4,11.3,10.3,23.3,20.9,0.688,0.5,3.2
Houston Bap,16.4,0.355,20,0.363,54.4,0.493,60.7,0.491,19.3,22.1,24.4,22.3,0.73,15.1,11.9,72.7,8.5,10.3,23.6,22.1,0.433,0.857,-6.2
Howard,14.9,0.295,22.8,0.335,57.4,0.434,61.9,0.486,19.5,21.8,27.8,22.6,0.725,14.7,13.7,74.8,10.5,11.6,22.9,23.9,0.333,0.455,-9
Idaho,16.5,0.364,22.5,0.343,52.3,0.461,52.6,0.48,22.1,21.2,23.3,21.9,0.708,15.2,12.7,68.7,9.5,7.4,23.7,19.9,0.594,0.647,-5.3
Idaho State,21.4,0.356,23.7,0.341,56.8,0.479,59.4,0.522,18.8,19.3,21.9,21,0.729,13.1,12.4,72.9,7.2,9.1,24.7,25.8,0.483,0.875,-7.1
IL-Chicago,14.3,0.304,20.8,0.364,59.6,0.403,62.4,0.466,21.7,21.5,25.8,24.8,0.619,15.6,11.6,76.2,11,9.7,25.3,26.1,0.107,0.333,-4.4
Illinois,22.5,0.363,22.7,0.386,58.6,0.475,59.2,0.51,17.2,18,17.9,15.7,0.746,10.4,13.5,71.6,6.2,8.3,22.3,27,0.441,0.5,5.2
Illinois St,22.3,0.333,19.7,0.319,57.7,0.462,53.8,0.487,19.7,18.2,17.8,20.7,0.674,12.5,13.8,69.3,9.1,8.2,22.9,23.6,0.548,0.75,1.2
Incar Word,21.4,0.389,19.3,0.359,56,0.447,56.6,0.523,18.6,19.8,19.9,21.6,0.771,12.4,12.7,71.4,6.1,8.6,22,25.6,0.56,0.75,-7.1
Indiana,23.7,0.415,18.2,0.343,58.1,0.562,58.2,0.49,18.5,19.1,19.7,17.6,0.733,13.4,13.1,70.7,10.4,8.7,24,18.5,0.771,0.375,8.8
Indiana St,21.7,0.299,18.4,0.324,57.1,0.447,55.9,0.465,21.6,20.5,23.7,24.5,0.697,13.2,12.6,72.6,8.5,7.9,25.3,26.5,0.452,0.25,0.5
Iona,26.8,0.37,21.8,0.358,60.9,0.525,60.4,0.46,19.5,18.4,19.7,21.9,0.711,12.8,13.9,74.3,9.3,9.9,24.8,23.8,0.667,0.2,0.6
Iowa,21.8,0.374,23.4,0.313,61.4,0.487,61.2,0.487,16.3,19.5,20.3,15.3,0.717,10.2,13.1,71.2,10.1,10.4,24.5,23.8,0.667,0.333,9.6
Iowa State,21.7,0.387,22.9,0.335,61.7,0.567,64.3,0.495,15.5,15.8,16.1,16,0.702,11.4,12.1,73.5,7.6,10.1,25.3,23,0.657,0.364,10.4
IPFW,25.6,0.403,20.7,0.387,58.9,0.49,60.3,0.502,17.3,19.4,19.7,18.1,0.721,12.1,11.1,72.4,8,7.6,24.4,24.2,0.688,0.769,-1.4
IUPUI,17.2,0.333,17.3,0.338,58.1,0.456,56.7,0.513,20.5,17.4,18.5,22.1,0.709,13.3,12.6,71.7,8.5,8.1,22.9,25.1,0.387,0.455,-0.9
Jackson St,21.4,0.308,18.9,0.315,60.9,0.454,53.1,0.446,21.6,18.2,18.5,25.6,0.63,12.2,14.2,71.2,10.9,8.1,24.1,24.9,0.529,0.556,-7.5
Jacksonville,21.8,0.389,24.5,0.366,62.3,0.45,60.3,0.527,19,18.4,19.5,20.2,0.665,11.5,12.6,74.5,8.8,7.7,24.9,26.7,0.429,0.583,-7.2
James Mad,24.2,0.35,24.9,0.287,57.7,0.509,58.5,0.473,19.2,19.5,21.4,21.6,0.683,11.8,10.6,70.4,9.3,9,26.9,23.6,0.645,0.5,0
Jksnville St,22.9,0.345,17.5,0.333,57.1,0.432,54.3,0.53,19.9,18,17.7,23.1,0.738,10.8,12.3,67.9,8.6,9.5,19.5,25.4,0.207,0.444,-5.6
Kansas,18.9,0.413,18.7,0.325,57.7,0.527,57.6,0.434,19,20.5,22.2,21.5,0.713,12.5,12.9,71.6,9.1,9.1,26,20.9,0.865,0.75,11.9
Kansas St,17.7,0.3,19.7,0.31,56.8,0.487,54.2,0.504,20,21.4,24.2,21.9,0.688,13.9,14.3,70.1,11.8,9.2,22.1,21.1,0.515,0.556,8.4
Kennesaw St,16.6,0.351,20.3,0.345,59,0.472,58.7,0.54,20,19,19.8,22.9,0.697,13.2,12.8,72.5,8.7,10.4,21.7,24.8,0.31,0.2,-4.5
Kent State,17.6,0.328,19.8,0.359,58.1,0.49,57,0.495,18.3,20.7,23.2,20,0.681,12,11.5,69.9,11.5,7.8,22.9,21.9,0.581,0.667,-1.3
Kentucky,18.5,0.366,17.1,0.326,59.7,0.529,57.8,0.427,20.4,19.7,22.6,23.6,0.69,11.2,12.1,70.5,11.2,10.5,24.5,19.8,0.75,0.5,9.4
LA Lafayette,20.8,0.311,17.8,0.378,61.3,0.499,58.8,0.47,18.4,21.8,25.8,20.9,0.698,12.5,11.8,73,12.6,8.1,25.1,21.8,0.531,0,-0.2
LA Monroe,18.9,0.345,22.5,0.327,57.7,0.5,59.1,0.466,17.9,17,18.6,19.5,0.697,12.4,11.6,69.7,9,10.3,23.4,22.2,0.563,0.5,-0.4
La Salle,24.7,0.336,20.1,0.381,54.8,0.454,56.2,0.511,17.3,16.4,16.9,19.6,0.667,12.5,12.7,68.6,7,9.4,20.1,25.2,0.267,0.4,0.8
LA Tech,21.2,0.333,20.5,0.32,60.1,0.52,61.3,0.497,18.4,20.7,25.8,20.9,0.669,12.5,13.9,75.8,9,9.5,25.1,25.3,0.677,0.5,-3.1
