Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,18.9,0.363,15.1,0.369,53.9,0.484,53.7,0.542,22.4,19.7,21.7,25,0.707,13.4,13.4,71.2,6.9,7.2,21.5,23.4,0.333,0.375,-9
Air Force,18.9,0.334,26.5,0.349,54.9,0.47,56.6,0.513,19.3,20.6,21.8,21.1,0.674,13.2,13.6,71.5,7.2,8.4,24.2,25.6,0.4,0.6,-2.1
Akron,30.6,0.382,19.6,0.301,60.1,0.48,59.8,0.475,17.8,17.7,18.4,19.4,0.681,10.6,11.5,70.6,9.1,9.8,24.3,24.8,0.735,0.571,0.6
Alab A&M,20.8,0.284,17.8,0.319,56.2,0.49,54.9,0.517,19.3,20.2,21.6,21.8,0.682,11.6,11.3,67.8,9.6,9.5,21,23,0.357,0.385,-9.2
Alabama,23.1,0.339,19.5,0.329,53,0.485,56.9,0.451,19.1,19.6,21.6,22.3,0.643,13.3,12.2,68.2,8.8,11.1,23.2,23.4,0.546,0.667,7.1
Alabama St,20.8,0.333,17.8,0.338,61.7,0.436,56,0.515,21.3,17.6,19.6,25.2,0.693,12.1,12.9,72.4,10.2,8.9,22.7,24.6,0.414,0.4,-8.6
Albany,17.9,0.323,22.8,0.309,56,0.518,57.5,0.502,17.7,21,24.3,15.7,0.752,12.6,12.8,69.8,10.1,8.2,25,19.8,0.719,0.583,-2.9
Alcorn State,19.4,0.307,19.9,0.37,56.7,0.453,55.9,0.486,18.4,19.2,21.8,22.2,0.684,14.3,11.8,70.1,10.3,9.1,21.2,22.3,0.464,0.667,-10.3
American,18.5,0.341,15.3,0.311,48,0.477,50.6,0.537,18.3,17.1,15.2,20.3,0.696,13.6,11.9,63.8,5.7,7.7,19.6,21.4,0.387,1,-3.4
App State,23.2,0.356,15.3,0.386,57.9,0.431,59.7,0.488,21.5,21.7,22.6,23.8,0.703,14.9,11.3,73.1,9.9,9.6,22.1,23.6,0.29,0.25,-1.6
AR Lit Rock,19.4,0.382,20.8,0.309,55.4,0.489,51.8,0.457,18.3,17.2,17.4,19.9,0.729,10.1,13.6,66.3,7.8,8.2,23.1,22.6,0.849,0.75,0.7
Arizona,17.1,0.381,19,0.316,57.9,0.522,60.8,0.457,18.3,21.9,25.4,17.8,0.721,12.9,11.4,73,9.7,8,27,20.3,0.735,0.5,7.5
Arizona St,23.7,0.336,19.8,0.354,60,0.466,56.6,0.514,20.3,20.9,22.7,21.6,0.687,12,12.8,72,10.2,8.2,23.3,24.5,0.469,0.333,6.6
Ark Pine Bl,20.2,0.303,16.9,0.323,52.2,0.447,51.5,0.496,21.9,15.9,15.7,27.7,0.611,15.6,13.3,67.2,8.1,10.7,18.5,23.1,0.242,0.7,-7.7
Arkansas,17,0.397,20.1,0.359,62.3,0.461,57.6,0.477,21.5,20.6,23.4,24.7,0.694,11.1,14.2,74.5,9.4,9.6,23.7,24.5,0.5,0.273,5.9
Arkansas St,18.6,0.315,23.8,0.356,60.4,0.445,64.4,0.435,19.7,21.3,24,24.5,0.732,13.2,10.9,75.8,9.3,11,26.7,25.7,0.31,0.364,-3.1
Army,26.8,0.334,17.6,0.351,63,0.493,62.8,0.483,19.2,19.5,20,20.1,0.693,13.7,12,75.4,10.8,9,26.5,25.4,0.563,0.571,-5
Auburn,25.8,0.34,21.5,0.348,58.7,0.443,60.5,0.496,21.2,21.2,24.1,24.3,0.633,13.8,12.9,74.4,9.3,10.8,23.7,27.1,0.355,1,5.1
Austin Peay,17.7,0.347,23.6,0.364,55.8,0.51,59.9,0.533,17.8,21.4,26.2,18.8,0.67,14.4,13.2,72.7,10,9.5,23.3,23.1,0.471,0.6,-3.3
Ball State,23.4,0.369,19.7,0.351,54.7,0.499,55.6,0.437,19.3,18.3,19.1,21.4,0.687,13.3,11.1,68.7,8.4,8.3,25.6,23.2,0.588,0.692,-2.4
Baylor,16.5,0.374,18.2,0.369,58.2,0.498,53.9,0.491,19.5,19.8,22.5,20.8,0.725,12.6,13.4,69.2,12.4,7.9,21.8,19.1,0.636,0.571,9.8
Belmont,29.2,0.364,21.5,0.353,58,0.626,61.8,0.495,20.2,20.5,20,22.9,0.728,14.1,12.1,74.1,7.5,10.7,24.7,22.5,0.613,0.375,-0.7
Beth-Cook,24.7,0.311,21.3,0.346,60,0.474,60.4,0.484,19,18.2,18.6,20.8,0.679,12.7,12.3,71,10.6,11.5,22.1,24.8,0.4,0.444,-8.6
Binghamton,20,0.285,20.2,0.337,53.8,0.451,55.8,0.49,18.6,18.4,19.5,19.2,0.682,13.9,12.4,68.9,8,8.5,23.5,25.2,0.267,0.2,-5.3
Boise State,24.4,0.326,20.6,0.36,57.5,0.537,55.4,0.509,19.8,21.2,23.5,20.4,0.708,11.6,14.3,72.2,7.9,7.2,22.7,23.4,0.6,0.455,2.3
Boston Col,22.1,0.325,18.3,0.382,54.8,0.466,54.1,0.5,18,15.8,14.2,20,0.651,13.3,13,68.6,6.2,8.1,22.2,25.6,0.219,0.2,3
Boston U,21.8,0.361,21.9,0.333,55.5,0.51,59.3,0.5,18.9,18.6,20.5,20.1,0.715,13.8,12,71.7,7.4,9,24.2,23.1,0.546,0.667,-3.5
Bowling Grn,16.2,0.354,21.6,0.379,55.8,0.471,57.8,0.473,19.5,20.2,22.4,20.8,0.658,12.8,11.8,70.6,8.7,8.9,24.2,23.7,0.438,0.667,-2.2
Bradley,18.6,0.277,17,0.345,50,0.439,52.6,0.487,23.4,20.1,19.2,27.5,0.67,17,11.5,69,7.5,7.8,23.7,24.8,0.129,0.571,-1.6
Brown,22.5,0.359,22,0.366,57.7,0.478,61.8,0.485,19.5,19.6,21.3,22.5,0.707,13.4,11.3,73.1,8.1,10.7,25,25.5,0.259,0.143,-3.2
Bryant,19.5,0.32,24.5,0.327,57.7,0.469,60.6,0.531,19.1,16.1,15.5,19.2,0.642,13.7,11,70.2,8.3,10.9,22.2,25.4,0.233,0.833,-7.4
Bucknell,20.6,0.358,21,0.352,57.5,0.512,58.6,0.476,21.4,21.5,25.2,24.2,0.716,13.6,13,74.4,8.6,8.9,24.6,22.8,0.533,0.571,-2.7
Buffalo,22.1,0.337,21.4,0.343,59.4,0.49,60,0.488,21.4,20.6,24.7,22.7,0.71,13.7,12.9,74.7,10.4,8.9,24.8,24,0.559,0.571,1
Butler,18.2,0.393,20.7,0.338,59.7,0.499,56.9,0.491,19.6,20.3,23.5,20.4,0.731,10.2,13.1,72.1,9.2,7.4,23.2,21.8,0.667,0.667,8.6
BYU,23.4,0.384,23.2,0.337,63.9,0.502,61.2,0.47,18.6,19.7,22.6,19.5,0.693,11.8,13.1,76.2,10,7.6,27,23.9,0.694,0.364,3.2
Cal Poly,22.6,0.354,18,0.4,59.9,0.449,56.8,0.5,20.7,18.9,21.1,22.9,0.682,10.4,10.9,70.5,9.8,8.1,22.4,25.1,0.286,0.182,-0.9
Cal St Nrdge,14.3,0.302,19.7,0.397,57.6,0.471,60.3,0.478,20.6,21,24.3,21.7,0.717,14.1,13.8,74.8,8.4,9.6,23.6,25.1,0.286,0.333,-2.5
California,19.1,0.363,15.5,0.347,56.8,0.511,58.5,0.415,20.8,20.4,23.7,21.9,0.656,12.2,9.7,70.8,9.6,7.6,26.6,21.7,0.677,0.5,7.3
Campbell,20.7,0.314,17.3,0.376,53.1,0.504,54.6,0.52,18.7,19.3,22.3,21.1,0.723,11.1,12.7,68.5,6.6,8.6,21.3,24.7,0.333,0.4,-7.1
Canisius,25.3,0.341,21.8,0.38,61,0.475,56.7,0.536,19.4,20.1,22.5,22.1,0.741,11.2,13.8,72.5,9.8,9.2,20.5,24.6,0.424,0.375,-2.3
Central Ark,17.8,0.372,22.1,0.387,59.1,0.474,61.8,0.515,20.5,19.8,24.8,23.9,0.659,14.5,11.6,75.4,9.7,9.5,23.4,24.1,0.25,0,-7.4
Central Conn,16.6,0.342,20,0.359,58.8,0.423,61.2,0.531,17.4,17.1,18.3,18.7,0.679,13.9,10.3,71.5,9.6,9.1,22.7,25,0.138,0.75,-8.4
Central FL,21.7,0.318,22.4,0.323,55.4,0.501,64.2,0.464,15.6,18.4,20.6,16.1,0.687,14.7,9.2,70.7,9.1,10.4,25.7,22.7,0.4,0.333,1.1
Central Mich,27.8,0.352,20.2,0.343,59.5,0.508,58.4,0.507,18.9,18.2,17.9,20.5,0.733,9.2,10.7,69.1,8.2,9.6,22.5,24.7,0.467,0.222,-1.8
Charl South,26.5,0.338,22.5,0.374,58.7,0.494,56.9,0.526,19.4,16.6,16.1,21.4,0.613,12.4,11.2,71,7.3,7.7,22.5,26.4,0.222,0.429,-4.8
Charlotte,21.1,0.382,20.4,0.393,62.6,0.477,60.4,0.527,17.8,18,20.8,18.7,0.698,11.9,13.4,74.6,9.7,8.3,23.3,25.5,0.424,0.1,-2.2
Chattanooga,20.6,0.356,20.2,0.337,55.8,0.507,55.8,0.506,17.5,19.8,23.2,17.2,0.735,12.3,13.7,69.5,9.5,8.3,22.8,21,0.818,1,-1.7
Chicago St,23.5,0.301,24.7,0.387,60.4,0.409,56.7,0.518,21.7,17,17,24.7,0.661,14.3,13.4,72.2,10.1,10,21.4,27,0.035,0,-6.9
Cincinnati,22,0.348,20.4,0.357,60,0.477,57.8,0.413,15.5,17.4,19.9,15.6,0.705,11,13.5,68.8,12,9.5,24.2,21.5,0.667,0.462,7
Citadel,34.9,0.317,20.4,0.352,69.1,0.501,64.5,0.598,24.2,19.9,21.4,28.6,0.733,13.7,15.6,83,9.4,11.1,20.9,30.2,0.241,0.556,-6.5
