Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,21.3,0.314,19.7,0.343,58.9,0.483,49.7,0.511,22.4,21.3,22.7,24.2,0.743,12.6,20.6,73.4,8.8,8.4,20.1,25.3,0.655,0.6,-2.2
Air Force,21.6,0.333,16.6,0.312,49.6,0.516,49.8,0.538,18,16.8,13.3,19.4,0.649,13.6,12.9,64.4,4.9,7.7,19.2,23.5,0.379,0.714,-0.6
Akron,21.7,0.356,19.3,0.347,52,0.524,54.8,0.478,16,19,20.8,14.4,0.692,11.4,11.3,65.4,7.9,7.5,23.5,20.7,0.71,0.6,-1.8
Alab A&M,14.4,0.271,23.2,0.32,57.7,0.415,59.7,0.452,16.1,16.9,19.4,17.1,0.713,13.6,13.6,71.3,9.5,9.9,23.9,25.4,0.4,0.5,-8.1
Alabama,30.1,0.308,22.2,0.331,62.8,0.563,61.7,0.492,18.6,18.4,21.1,21.7,0.73,14.6,13,75.2,11.6,10.3,24.7,22.8,0.594,0.583,11.1
Alabama St,18.8,0.33,22.6,0.332,56.8,0.468,60.2,0.508,18,17.7,20.9,20.4,0.705,15.4,13.9,73.7,8.1,10.4,22.1,23.4,0.3,0.25,-7.5
Albany,18.2,0.323,20.4,0.355,56.2,0.452,52.9,0.491,18,14.9,14.1,16.8,0.704,12.4,13.6,68.1,6.9,6.6,21.6,24,0.419,0.778,-3.6
Alcorn State,17.1,0.315,19.9,0.348,58.1,0.454,55.8,0.502,17.7,17.2,19.2,20.2,0.694,14,13.2,71.3,9.5,7.7,22.5,22.5,0.515,0.667,-5
American,15.2,0.331,19.2,0.347,54.3,0.496,56.1,0.539,14.9,14.2,13.9,16.2,0.694,13.3,11.5,67.5,6.8,7.7,21.2,22.6,0.313,0.167,-5
App State,24.4,0.333,20.9,0.326,57,0.467,55.9,0.502,13.3,15.4,15.3,12.2,0.667,10.3,11.7,66.4,7.7,7.5,22.8,24.8,0.533,0.444,-0.9
AR Lit Rock,20.8,0.333,22.1,0.384,53.6,0.466,56,0.555,17,17,17.3,17.3,0.732,13.8,13.6,69.1,7,8.2,19.8,24.6,0.24,0.8,-3.7
Arizona,21.9,0.354,22.4,0.327,61.4,0.575,64.9,0.419,16.5,18.9,21.6,14.8,0.738,13.2,12.9,74.7,10.4,9.9,28.4,20.4,0.912,0.8,10.1
Arizona St,22.5,0.307,23.8,0.311,60.4,0.477,58,0.461,18.1,15.2,12.8,18.7,0.661,11.9,13.5,70.8,7.5,9.7,24.1,26.6,0.452,0.539,8.6
Ark Pine Bl,22.5,0.298,17.1,0.36,55.5,0.479,58.3,0.561,17.9,16.9,18.6,20.1,0.709,13.5,13,70.7,7.4,9.9,18.6,24.9,0.172,0.4,-9.5
Arkansas,20.8,0.307,22.7,0.328,60.6,0.509,57.8,0.464,16.8,19.8,23,18.7,0.753,12.6,15,74.2,9.7,7.6,25.5,23.7,0.758,0.5,8.9
Arkansas St,17.5,0.319,19.4,0.333,55.6,0.5,58.3,0.488,16.4,17.4,19.2,16.4,0.745,14.3,13.3,70.5,8.5,9,24.7,22.8,0.577,0.5,-3.3
Army,20.3,0.317,24.3,0.364,58.5,0.494,59.4,0.516,14.9,17.1,18.8,13.6,0.64,13.2,13.5,71.6,9,7.9,23.8,24,0.448,0.444,-6
Auburn,25.4,0.32,21.4,0.312,63.6,0.519,59,0.426,18.5,17.6,20.1,20.5,0.733,12.1,15,74.8,10.2,9.1,25.8,22.7,0.844,0.5,9.8
Austin Peay,25,0.308,19.7,0.332,56.3,0.469,53.3,0.541,17,16.4,14.5,19.2,0.703,14.3,14,68.1,9.3,8.3,20.5,24.3,0.37,0.556,-4.3
Ball State,23.6,0.357,25.9,0.363,57.2,0.498,60.3,0.508,18.2,19.8,21.8,19.8,0.696,14.1,12.3,73.4,8.2,8.6,24.3,24.2,0.433,0.667,-3.2
Baylor,23,0.346,19.9,0.299,60.9,0.535,55.6,0.495,15.8,16.4,17.4,14.9,0.698,12.5,15.7,70.3,11,8.4,22.8,20.8,0.813,0.6,11.6
Bellarmine,23.1,0.342,25.5,0.35,55.2,0.548,54.2,0.561,15.1,15.1,12.1,16.3,0.75,9.5,11.2,64.5,6.1,8.6,20.2,22.6,0.552,0.75,-2.2
Belmont,25.7,0.328,23.5,0.34,59.1,0.609,58.9,0.483,13.5,14.4,15.5,13.5,0.733,11.9,14.9,71.6,6.8,8.6,24.3,22.6,0.774,0.6,0.6
Beth-Cook,14.4,0.337,20.1,0.329,56.6,0.437,54.6,0.528,17.4,15.9,16.3,19.4,0.681,13.4,13.8,69.2,8.2,8.7,20.3,24.3,0.276,0.444,-7.4
Binghamton,20.7,0.347,21.6,0.336,58,0.47,58.1,0.496,16.8,14.6,13.5,17.5,0.668,12.7,10.7,69.3,8,7.8,24.3,23.9,0.37,0.286,-4.8
Boise State,21,0.341,17.6,0.324,54.4,0.511,52.9,0.48,15,19.3,19.2,13.7,0.65,12.1,13.2,66.6,8.8,6.3,23.2,21.2,0.788,0.727,5.2
Boston Col,18.6,0.309,19.8,0.364,57.5,0.485,53.8,0.498,15.6,16.4,17,17,0.704,11.9,12.4,67.6,9.2,7.4,22.4,23.4,0.394,0.333,5
Boston U,21.2,0.352,18,0.33,56.3,0.52,55.4,0.507,15.8,16.4,16.3,16.1,0.74,12.1,11.1,67.3,8.5,7.2,23.4,21,0.625,0.615,-4.4
Bowling Grn,23.8,0.331,27.1,0.36,64.4,0.48,63.3,0.531,18.1,18,20.6,19.5,0.742,12.2,12.9,75.8,10.3,9.8,23.8,25.7,0.379,0.6,-3.7
Bradley,22.8,0.341,21.2,0.322,57.7,0.511,56,0.461,16.9,15.9,15.8,16.9,0.685,13.5,12.4,69.3,9.7,7,25.8,21.7,0.533,0.333,2
Brown,22.3,0.317,21.5,0.339,57.4,0.506,56.4,0.513,18,18.3,18.1,18.7,0.695,13.2,13.4,70.9,8.4,7.8,22.7,23.9,0.407,0.3,-1.3
*Bryant,27.1,0.307,22.1,0.321,61.9,0.526,65.9,0.47,16.8,18,20.3,16.1,0.734,13.9,12,74.9,10.5,10.6,26.1,23.6,0.7,0.667,-4.2
Bucknell,21,0.376,24.4,0.373,55.9,0.506,63.7,0.524,15.3,15.3,15.8,14.6,0.765,13.5,9.6,70.9,5.7,9.6,23.1,24.1,0.281,0.5,-4.6
Buffalo,24.1,0.344,20.2,0.319,64.8,0.516,62.8,0.483,17.4,16.4,16.6,18.5,0.716,13.4,11.4,73.7,12.4,9.3,26.3,22.6,0.607,0.286,0
Butler,22.9,0.297,21.3,0.311,54.8,0.489,55.7,0.519,16.8,17,16.6,16.8,0.689,12,11.2,67.2,7.5,7.7,21.5,23.5,0.387,0.444,7.5
BYU,21.8,0.346,21.8,0.305,59.5,0.508,59,0.489,17.9,17,16.7,18,0.731,13,10.6,71.3,9,7.1,27,22.6,0.667,0.429,5.6
Cal Baptist,23.7,0.332,19.2,0.325,55,0.506,58.1,0.478,18.7,19.6,20.6,19.4,0.677,14.2,12,70.4,8.6,8.8,24.6,23.4,0.5,0.455,-4.9
Cal Poly,18.1,0.295,20.1,0.36,51,0.472,54.7,0.447,19.5,19.1,18.5,20.1,0.731,14.9,11.2,67.4,7.4,7.9,23.5,21.7,0.222,0.333,-3.6
Cal St Nrdge,16.5,0.302,20.5,0.332,55.6,0.44,54.1,0.531,19.1,16.4,16.4,19.7,0.685,12.3,13.1,67.6,8.4,8.8,20.1,24.9,0.214,0.6,-4.1
California,17.8,0.308,19.5,0.309,56.2,0.473,55.6,0.481,16.5,14.3,14.2,17.5,0.727,11.2,9.6,66.9,7.3,6.5,24.6,24.1,0.375,0.333,5.6
Campbell,20.3,0.33,20.3,0.353,53.6,0.524,53.4,0.491,13.9,15.1,14.1,14.7,0.673,10.4,11.7,64.9,5.8,7.3,22.3,23.2,0.5,0.5,-5.4
