Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
Abl Christian,17.9,0.373,16.2,0.371,50.1,0.423,53.4,0.568,21.6,18.7,21.2,25.8,0.746,15,12.1,68.9,6.1,9,18.8,22.8,0.095,0.25
Air Force,21.7,0.329,21.3,0.337,51.8,0.496,52.9,0.511,18.9,18.6,19.3,23.3,0.69,13.5,11.7,67,7.2,8.8,21.4,23.4,0.357,0.714
Akron,20.3,0.346,15.2,0.335,54.6,0.493,54.9,0.471,17.8,18.9,22.1,19.9,0.623,13.1,12.9,68,10.6,8.8,21.2,21,0.618,0.6
Alab A&M,18.9,0.323,14.7,0.314,53.1,0.451,52.4,0.445,22,19.4,22.1,28.6,0.663,13.3,13.6,69,7.8,10.6,22.3,23.9,0.429,0.6
Alabama,17.3,0.333,17.2,0.307,51.8,0.491,53.8,0.475,19.2,19,22.8,22.2,0.683,11.8,12.5,66.6,8.2,9.9,20.9,22,0.387,0.375
Alabama St,19,0.28,16.8,0.314,58.2,0.472,55.4,0.509,18.4,20.3,23.7,22.1,0.684,12.1,14.7,70.9,10.6,9.7,20.3,23.7,0.552,0.667
*Albany,13.3,0.36,19.9,0.349,51,0.47,54.4,0.46,17,19,21.4,15.8,0.75,12.6,11.7,65.4,8.4,8.1,22.5,19.4,0.559,0.167
Alcorn State,14.7,0.301,16.6,0.348,52.6,0.452,53.3,0.482,18.9,17,21.8,22.1,0.659,11.6,12.5,66.3,8.4,9.9,20,22.7,0.321,0.429
American,16.6,0.378,15.3,0.319,46.3,0.551,49.1,0.457,17.2,17.6,16.2,20,0.707,14,12,62.3,6.2,7.9,21.2,18.5,0.606,0.4
App State,15.8,0.294,15.2,0.371,56,0.443,53.7,0.516,20.2,19.9,23,23.2,0.636,12.6,12.7,68.9,10.3,8.8,20.3,24.1,0.192,0
