Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
AR Lit Rock,15.5,0.311,22.2,0.349,57.3,0.458,55.4,0.483,21.8,19.9,23.7,27.8,0.743,13.4,13,72.5,9.4,9.1,23.3,23.2,0.433,0.615
Arizona,14.8,0.364,14.2,0.32,55.9,0.506,53.7,0.402,16.6,18.3,22.9,18.4,0.659,10.2,12.4,66.9,10.3,7.7,24.7,19.8,0.868,0.667
Arizona St,20.8,0.39,16.2,0.326,56.1,0.488,59.4,0.453,19.2,19.9,23.8,22.2,0.694,11.4,11.9,71.8,7.2,9.9,26,25.2,0.636,0.625
Ark Pine Bl,18.2,0.341,18.3,0.368,52.1,0.447,50,0.533,19.5,17.9,21.4,25.3,0.655,15.1,16.2,69.4,7.8,8.8,18.5,22.9,0.379,0.556
Arkansas,20.5,0.362,18.1,0.346,61.9,0.48,58.3,0.436,20.7,20.2,24.9,25.1,0.726,11.5,17,75,10.6,11.9,22.8,23.8,0.647,0.444
Arkansas St,23.1,0.386,19.2,0.325,56.2,0.483,59.5,0.483,18,20.3,23.8,21.5,0.722,12.5,12.9,72.7,7.5,9.7,22.5,23.8,0.567,0.556
Army,22.3,0.338,17.3,0.389,58,0.514,56.8,0.497,18.3,18.3,18.9,20,0.698,13,13.7,70.3,9.7,9.7,20.5,21.9,0.467,0.385
Auburn,18.4,0.311,18.9,0.386,55.2,0.5,53.9,0.454,21.5,20.4,24.3,26.2,0.721,12.1,12.7,69.4,9.4,9.7,21.7,21.9,0.467,0.571
Austin Peay,15,0.335,21.3,0.362,54.4,0.535,60.3,0.529,17.5,21.3,26.9,21.1,0.674,15.5,14.5,74.1,8.5,10.7,21.4,22.4,0.357,0.333
Ball State,20.4,0.315,16.1,0.331,52.5,0.463,55.8,0.523,21,19.3,22.4,25.3,0.684,17.1,11.1,70,10.1,9,21.9,21.7,0.107,0.375
Baylor,18.9,0.38,18.7,0.356,55.2,0.484,57,0.464,17.3,19.1,24.8,18.4,0.68,11.5,10.3,66.2,12,10.1,22.6,19.1,0.667,0.667
Belmont,22.8,0.39,19.6,0.345,54.4,0.569,55.3,0.521,20.7,20.6,22.4,23.7,0.741,12.9,14.3,70.7,7.5,10,20.8,20.4,0.714,0.8
Beth-Cook,19,0.358,16.9,0.353,53,0.413,50.1,0.51,21.2,16.8,18.1,26.7,0.713,12.4,12.4,65,8.9,10.2,17.6,22.3,0.167,0.222
Binghamton,19,0.32,21.1,0.385,51.8,0.415,53.4,0.496,19.9,20.2,22.9,21.8,0.693,14.3,13.1,68.2,8.2,9.2,19.6,23.6,0.233,0.571
Boise State,20.6,0.365,18.4,0.353,57.1,0.503,53.2,0.504,19.5,18.6,21,22,0.756,9.9,11.2,67.6,9.5,7.1,21.4,20.8,0.594,0.385
Boston Col,21.9,0.352,15.2,0.379,50,0.516,55.3,0.504,19.1,18.7,22.3,22.9,0.743,11.1,9.6,65.4,7,9.7,19.4,20.4,0.226,0.25
Boston U,22.2,0.363,18.5,0.354,56.5,0.509,55,0.482,16.9,16.1,16.9,17.3,0.714,11.8,13.6,68.6,7.5,8.5,21.9,22.8,0.686,0.75
Bowling Grn,12.9,0.283,17.3,0.356,53.9,0.464,54.1,0.443,17.8,17.7,19.6,20.8,0.636,14.8,13.7,68.9,9.1,8.9,22.8,22.7,0.355,0.308
Bradley,15,0.322,19.7,0.326,53.8,0.457,50.4,0.507,19.8,17.9,19.6,21.9,0.701,12,12.9,65.3,9.5,8.7,20.8,22.4,0.375,0.143
Brown,17.3,0.377,18.2,0.306,58.5,0.447,58.7,0.441,19.9,18.6,20.8,21.9,0.678,13,11.6,71.6,9.9,8.9,25.9,24.2,0.5,0.2
Bryant,18.9,0.332,21.1,0.364,55.8,0.538,59.2,0.475,17.6,18.1,20.7,19.4,0.705,12.3,12.3,70.1,7.7,10.9,22.4,22.3,0.548,0.462
Bucknell,16.7,0.39,17.9,0.339,54.2,0.446,54.8,0.465,16.7,15.6,17.2,17.4,0.746,10.7,9.1,65.2,7.6,7.3,24.3,22.2,0.533,0.417
Buffalo,19.4,0.337,17.7,0.306,56.3,0.5,56.8,0.476,18.5,20,23.5,20.6,0.716,12.6,13.1,69.9,10.5,9.4,23.3,21.2,0.643,0.375
Butler,18.1,0.314,16.7,0.315,56.6,0.473,55.3,0.514,17.1,18.9,21.3,17.4,0.656,10.1,11.7,67.3,9.4,8,22.1,23.5,0.433,0.222
BYU,14.1,0.368,21.8,0.337,62.5,0.492,62.5,0.482,19.7,22.7,29.8,23,0.691,11.4,12.4,76.5,11.2,9.6,25.9,22.6,0.647,0.571
*Cal Poly,19.1,0.329,15.5,0.338,53.9,0.442,50,0.487,18.8,15.9,17.9,21.5,0.682,8.9,10.9,62.4,9,8.7,19.3,22.1,0.375,0.444
Cal St Nrdge,11.7,0.364,21.9,0.346,55.7,0.473,58.1,0.523,20.6,20.5,27.2,24.3,0.79,12.9,12.2,72,9.5,9.8,23.2,21.2,0.455,0.571
California,16.5,0.345,17.2,0.353,57.5,0.502,58.4,0.442,16.9,17.8,20.5,19.7,0.686,10.2,10.1,68.7,8.6,9.2,24.1,22.1,0.6,0.625
Campbell,24.9,0.352,16.9,0.35,54.6,0.502,56.5,0.517,18.1,14.9,15,20.9,0.683,13.1,10.3,65.9,9,10.8,20,22,0.321,0.444
Canisius,21,0.386,20.9,0.334,58.8,0.499,59.2,0.514,18,19.2,22.3,20.9,0.743,11.5,13.7,71.6,9.5,11,20.7,21.5,0.636,0.6
Central Ark,17.7,0.367,16.3,0.345,59,0.469,59.1,0.52,21.7,18.8,22.5,29,0.599,15,14.1,75.6,9.1,11.4,20.5,25.6,0.222,0.5
Central Conn,16.9,0.335,20.9,0.366,59.5,0.473,61.5,0.488,18.8,16.5,17.6,21,0.724,14.1,12.9,73,8.3,12.1,22.2,23.9,0.345,0.667
Central FL,20.5,0.326,17,0.36,58.7,0.491,58,0.51,18.1,19.3,22.4,21.2,0.614,13.7,11.8,70.7,12,9.5,21.3,21.3,0.379,0.625
Central Mich,25.1,0.316,19.2,0.365,55.8,0.508,52.7,0.583,18.4,18.7,20.7,20.9,0.702,11,12.9,67.6,8.6,8.4,17.8,23.7,0.276,0.5
Charl South,24.9,0.37,20.2,0.402,59.7,0.483,57.9,0.474,18.7,17.5,20.7,22.3,0.725,11.2,11.8,71.4,9.4,8.9,23,24,0.333,0.2
Charlotte,16.9,0.356,20.4,0.327,57.2,0.482,59,0.492,18.4,20.6,22.5,21.3,0.648,14.8,12.2,71.8,10.7,9.7,24.7,22.2,0.548,0.539
Chattanooga,19.8,0.325,15.3,0.34,57.3,0.467,59.2,0.517,18.9,19.9,25.6,21.4,0.711,13.2,12.5,71.9,11.1,9.6,22.1,23.5,0.5,0.571
Chicago St,20.9,0.333,19.8,0.355,59,0.451,54,0.521,23.1,18.5,19.9,28.9,0.682,12.1,15.6,72.4,8.7,10.4,19.4,26.3,0.367,0.6
Cincinnati,17.2,0.335,16.7,0.32,55.7,0.466,51.3,0.432,17.5,18.6,21.6,18.5,0.708,11.1,14.2,65.4,11.9,8.6,20.9,19.3,0.794,0.727
Citadel,16.6,0.357,19.7,0.351,53.5,0.451,58.8,0.511,18.7,17.7,18.4,21.4,0.712,12.7,9.8,67.4,7.7,11.1,21.9,23.1,0.138,0
Clemson,17,0.31,16.8,0.285,52.2,0.479,54.7,0.443,15.7,16.5,18.9,15.7,0.744,11.2,10.6,62.6,9.7,10.1,22.8,19.9,0.639,0.571
Cleveland St,18.2,0.402,18.4,0.334,53.7,0.488,52.6,0.466,20,17.4,20.2,23.3,0.75,12.7,12.6,67.2,9,8.8,21.9,20.1,0.613,0.333
Coastal Car,17.9,0.326,23.9,0.324,57.2,0.476,56.3,0.467,19.9,19,22.1,22.3,0.69,13.9,12.6,71,10.4,8.8,24.3,22.5,0.581,0.615
Col Charlestn,19.1,0.345,14.5,0.342,53.5,0.449,52.8,0.434,18.6,16.5,18.4,22.8,0.662,12.8,9.5,64.9,10.2,8.3,23.7,20.6,0.419,0.333
Colgate,20.9,0.401,18.2,0.338,52.1,0.54,54.1,0.506,17.2,15.1,14.6,18.8,0.72,11.5,10.3,64.9,5.9,8.2,21.8,21,0.4,0.2
Colorado,16.3,0.318,20.2,0.356,53.5,0.486,56.7,0.473,16.5,20.3,25.8,17.2,0.718,13.3,12.1,68.8,10.3,8.1,24.9,20.9,0.657,0.818
Colorado St,16.4,0.316,19,0.382,56.2,0.457,54,0.484,18.5,21.5,26.8,20.2,0.725,9.2,11,67,10.7,8,23,22.3,0.467,0.4
Columbia,20.4,0.386,13.6,0.349,48.1,0.486,50.9,0.457,18.6,18.3,21.2,21,0.774,12,10.5,64,6.6,7.1,22.5,20,0.606,0.546
Connecticut,18.5,0.389,18.3,0.33,54.1,0.482,56.3,0.422,17.9,18.5,21,19.9,0.774,11.5,12.9,68,8.1,10.1,22.9,20.1,0.795,0.75
Coppin State,22.9,0.324,21.3,0.354,57.4,0.431,57.7,0.531,16.9,20,23.1,20.6,0.734,11.7,13.2,69.8,9.6,11.6,20.3,25.1,0.355,0.375
Cornell,21.9,0.315,18.4,0.411,56.6,0.465,53.6,0.544,20.7,16.3,16,25.2,0.667,12,10.2,67.2,8.9,8.7,19.1,25.1,0.037,0.2
Creighton,24.5,0.415,19.6,0.341,55,0.563,56.7,0.47,17.7,18.5,18.7,18.7,0.743,9.8,9.7,66.5,7.1,8.7,23.8,20.8,0.771,0.8
CS Bakersfld,17.6,0.387,17.8,0.314,54.4,0.454,51.2,0.5,22.2,19.4,21.1,26.9,0.688,13.9,12.6,67.8,10.2,9.1,21,20.7,0.387,0.308
CS Fullerton,18.6,0.331,15.5,0.34,55.7,0.473,53.4,0.506,19.5,18.8,21.2,24.5,0.658,11.9,11.4,68.4,8.8,8.5,21.4,23.8,0.355,0.333
Dartmouth,16.3,0.38,16.6,0.375,53.7,0.457,47.8,0.496,20.1,19,19.5,23.9,0.678,12,12.5,65.4,9.4,6.4,20.9,21.8,0.385,0
Davidson,22.1,0.378,13.9,0.36,56.7,0.535,53.9,0.51,20.2,20.2,21.8,24.5,0.719,11.4,12.1,70,8.2,7.8,21.8,22.1,0.594,0.25
Dayton,17.4,0.377,16.5,0.332,54.5,0.504,52.3,0.483,19.9,18.9,22.1,22.5,0.681,11.9,12.4,67.3,9.3,8.4,22.1,20.2,0.703,0.667
Delaware,20.8,0.347,19.1,0.327,60.2,0.495,60.4,0.496,18.9,21,26.4,22.9,0.711,9.5,11.9,72.6,9.5,10.9,23,25.4,0.714,0.667
Delaware St,15.5,0.316,18.6,0.307,49.9,0.458,51.5,0.515,18,17.6,19.3,21.2,0.694,12,11.2,63.3,7.5,9.8,19.1,21.6,0.25,0.222
Denver,21.1,0.384,13,0.338,49.2,0.518,46.2,0.534,20.1,16.3,17.1,22.7,0.709,10,12.6,61.1,6.2,8.4,17.7,21.3,0.5,0.375
DePaul,17.6,0.336,17,0.374,56,0.463,53.6,0.529,21.6,20.1,23.5,25,0.684,13.5,13,70.4,10.2,8.1,20,22.4,0.364,0.625
Detroit,18.2,0.308,18.6,0.361,57.8,0.457,53.4,0.479,21.8,19.5,22.3,26.8,0.728,12.8,13.5,70.8,10.4,8.9,22.4,23.2,0.367,0.5
Drake,19.5,0.397,19.4,0.345,51,0.474,53.3,0.509,18.5,18.8,19.5,20.6,0.715,12.1,10.9,65.8,7,7.8,22.7,21.8,0.467,0.625
Drexel,16.4,0.314,16.3,0.308,56.9,0.464,53.5,0.476,21.3,19.5,22.3,25,0.709,8.5,11.3,67.4,8.7,9.2,23.5,24,0.533,0.385
Duke,22.9,0.395,12.8,0.307,57.7,0.503,53.1,0.503,19.4,18.7,22.4,21.7,0.729,9.4,12.1,66.9,10.4,9,21.1,21.3,0.743,0.667
Duquesne,20,0.363,22.4,0.393,56.6,0.485,57.1,0.496,18,18.8,23.9,19.2,0.669,11,12,70,9,8.4,23.2,23.5,0.433,0.143
E Carolina,23.2,0.366,19.8,0.319,53.1,0.483,57.6,0.541,17.8,18.8,22.1,18.3,0.727,12.1,11.9,67.6,8.3,10.4,20.5,22.2,0.433,0.375
E Illinois,15.6,0.32,17.6,0.394,53,0.483,53.2,0.507,19.5,19,22.1,24.5,0.716,13.6,11.8,68.4,8.3,8.6,21,22,0.321,0.667
E Kentucky,23.4,0.386,17,0.358,52.8,0.557,48,0.567,21,19.5,22.8,26.3,0.755,10.7,16.3,68.6,5.6,8.2,17.2,21.6,0.688,0.667
E Michigan,16.6,0.3,21.1,0.32,53.9,0.438,54.1,0.412,18.4,20,23.2,21.8,0.681,11.7,14.8,67.4,9.2,11.9,21.7,23.4,0.559,0.615
E Tenn St,21.4,0.361,23,0.33,58.2,0.464,58.2,0.514,20,20.5,24.9,24.4,0.744,11.6,14.1,73.1,8.7,10.6,23.1,25.2,0.529,0.5
E Washingtn,21.8,0.372,18.3,0.35,57.3,0.495,58.9,0.494,20,19.9,23.2,24.7,0.693,12.3,10.3,71.5,9.3,9.3,24,23,0.448,0.4
Elon,21.2,0.363,16.1,0.333,55.1,0.509,56.7,0.486,18.3,18.7,19.7,23,0.712,11.9,11.4,69.1,7.6,9.7,22.7,22.3,0.552,0.6
Evansville,12.1,0.353,20,0.357,50.6,0.488,56.3,0.498,18.9,19.9,24.8,21.2,0.714,12.8,12.1,68.8,6.5,9.6,21.9,22.3,0.387,0.25
F Dickinson,20.2,0.35,18.9,0.37,56.7,0.45,55.3,0.489,21.2,17.8,20.2,26.4,0.721,11.8,12.4,68.9,9.1,11.5,19.7,23,0.31,0.333
Fairfield,20.6,0.333,13.9,0.346,54.8,0.436,51.5,0.453,22.9,18.9,19,30.2,0.685,14.7,11.2,68.9,9.3,8.5,23,23.2,0.219,0.364
Fla Atlantic,19.3,0.327,15.5,0.338,54.7,0.469,55.9,0.465,18.6,17.8,19.8,23.2,0.653,12.8,10.9,67,10,10.6,21.5,21.9,0.267,0.167
Fla Gulf Cst,17.2,0.319,19.8,0.342,56.2,0.525,56.9,0.458,18.2,18.1,20.2,20.1,0.689,13.2,12.8,70,8.9,9.2,24.8,22,0.606,0.7
Florida,18.2,0.359,16.1,0.33,52.7,0.513,51.4,0.435,15.7,18.9,22.3,16.1,0.668,11.1,13.5,64.3,10.1,8.1,22.5,19.5,0.923,0.875
Florida A&M,19.9,0.323,16,0.328,62.4,0.425,55.4,0.472,24.3,18.3,21.2,31.2,0.652,14.7,14.8,74.4,12.2,11.1,22.2,24.9,0.4,0.643
Florida Intl,15.6,0.314,18.1,0.335,53.6,0.491,57.3,0.49,18.2,18.5,23,21.5,0.673,13.8,12.3,69.2,9.7,10,22.1,21.3,0.464,0.556
Florida St,13.9,0.38,19.3,0.329,52,0.497,57.4,0.435,18,20.7,23.8,20.8,0.722,14.2,12.6,68.4,9.4,11.3,22.4,19.2,0.611,0.571
Fordham,23.2,0.306,20.3,0.357,62.6,0.445,57.8,0.519,19.9,19,20.9,24.5,0.733,11.4,12.5,71,13.1,11,21.3,24.8,0.323,0.5
Fresno St,20.9,0.363,18.5,0.315,55.2,0.471,56.4,0.495,19.4,18.2,22.4,23.7,0.73,9.9,11.2,68.6,7.5,10,22.2,24.4,0.514,0.75
Furman,15.7,0.324,19.7,0.37,50.4,0.489,58,0.51,16.6,18.5,20.5,17.3,0.684,13.6,10.5,66.8,6.6,10.2,20.4,22.1,0.259,0.5
GA Southern,20.6,0.33,20.5,0.349,56,0.484,56.2,0.515,17.2,17.8,20.7,18.4,0.661,12,12.1,68.3,9.3,9,21.8,23.5,0.387,0.333
GA Tech,16.7,0.315,18,0.332,56,0.48,55,0.462,17.8,17.5,19.3,20.8,0.684,12,10.2,67.2,9.9,8.1,23.8,21.9,0.485,0.6
Gard-Webb,15.5,0.325,15.7,0.332,57.5,0.472,55.7,0.512,18.9,19.5,23.7,21.5,0.694,12.4,13.8,70.9,10.2,8.9,21.2,22.4,0.5,0.5
Geo Mason,14,0.352,18.1,0.335,55.5,0.47,54.1,0.5,20.9,19.1,22.3,25.6,0.709,13.5,12.2,70.3,8.8,8.6,21.9,22.1,0.355,0.308
Geo Wshgtn,15.6,0.364,20.8,0.312,54.9,0.502,57.4,0.474,18,21.7,25.6,19.2,0.651,13,13.4,69.6,10.6,10.1,23.8,20.7,0.727,0.6
Georgetown,16.5,0.331,18.5,0.333,52.8,0.518,51.6,0.468,22.1,21.1,23.6,27.1,0.721,11.7,11.9,67.1,8.8,9.2,21.9,20.6,0.546,0.5
Georgia,14.1,0.349,19.1,0.319,51.2,0.475,54.6,0.448,18.8,21.4,27.7,23.7,0.682,13.1,10.5,67.4,10.1,8.9,23.3,20.1,0.588,0.667
Georgia St,19.8,0.38,22.8,0.343,56.6,0.511,55.6,0.483,17.4,18.5,22,20,0.778,7.9,13.4,68.1,7,10.3,21.9,23.4,0.719,0.429
Gonzaga,17.7,0.39,17.5,0.318,54.2,0.536,56.2,0.433,18.3,19.9,22.3,21.7,0.708,11.6,11.7,68.5,8.3,9.2,24.7,20.2,0.8,0.714
Grambling St,19.3,0.325,19.1,0.379,54.3,0.453,57.2,0.577,19,18.2,22,23.2,0.675,15.1,12.6,70.7,8.9,10.5,18.8,23.4,0.148,0.286
Grd Canyon,20.1,0.351,16.6,0.354,51.4,0.47,57.3,0.485,20.2,21.7,26.7,22.9,0.741,12.8,9.8,69.5,7.6,8.4,23,22.7,0.444,0.455
Hampton,17.2,0.32,17.2,0.352,57.5,0.462,55.7,0.418,23.7,22.7,29.3,30,0.657,14.7,16.1,75.2,10.8,10.9,23.5,23.5,0.581,0.375
Hartford,21.3,0.376,16.1,0.343,48.3,0.523,50.4,0.513,19.2,19.2,18.8,20.8,0.703,13.9,13,65.4,5.9,7.8,19.4,20.7,0.515,0.25
Harvard,15,0.387,16,0.327,52.4,0.497,52.3,0.449,17.8,21,25.5,19,0.724,11.5,13.9,67.4,8.8,7.7,22.1,19.6,0.839,0.75
Hawaii,16.8,0.332,18.6,0.342,58.7,0.519,55.8,0.508,19.3,20.1,24.9,22.6,0.727,11.7,13.3,71.3,10.9,8.6,21.3,19.9,0.621,0.5
High Point,16.3,0.386,20.2,0.35,54.3,0.497,55.1,0.543,17,17.1,17.6,19.3,0.744,11.9,11.7,66.6,8.1,9.2,19.9,21.3,0.483,0.444
Hofstra,20.8,0.334,19.5,0.377,54.2,0.472,55.4,0.494,19.5,19.8,24.4,22.8,0.659,12.3,10,67.1,11.2,9.1,22.1,21.7,0.303,0.444
Holy Cross,18.1,0.353,16.7,0.374,52.8,0.469,53.4,0.47,17,18.7,20.8,16.1,0.732,11.7,12.1,66.1,8.1,7.3,21.5,21,0.588,0.727
Houston,17.5,0.367,18.2,0.349,55.6,0.494,58.8,0.49,18.3,18.2,21.2,20.3,0.667,12.8,11.1,69,9.4,10.5,21.8,21.8,0.515,0.5
Houston Bap,14.4,0.337,17.8,0.337,55.1,0.448,59.2,0.51,21.4,19.1,21.9,25.5,0.675,15.7,11.6,71.6,9.7,11,22.3,23.9,0.138,0.333
Howard,15.6,0.329,19.9,0.334,51.1,0.389,52.3,0.498,21.9,20.3,25.2,28.5,0.682,16.3,14.5,70.1,9.2,10.4,19.6,22.7,0.194,0.333
Idaho,17.9,0.357,18.3,0.337,54.9,0.487,57.2,0.52,20.8,20.6,24.6,23.6,0.69,11.5,10.2,69.3,8.5,9.5,22.4,22.2,0.455,0.563
Idaho State,15.6,0.356,23,0.387,53,0.478,54,0.508,18.2,19.7,24.1,19.1,0.711,12.3,12.5,66.5,9.9,9.4,20.9,20,0.333,0.286
IL-Chicago,17.2,0.326,16.6,0.378,54.4,0.448,52,0.514,22,19.3,21.3,25.9,0.714,12.5,11.1,68,8.7,7.7,21.3,23.3,0.138,0.111
Illinois,18.9,0.317,18.4,0.343,55.5,0.459,52.4,0.463,16.8,16.4,17.3,16.9,0.733,10.4,11.8,64.5,9.1,8.1,21.8,22.1,0.571,0.7
Illinois St,23.1,0.307,20.2,0.354,55.6,0.475,54.6,0.462,20.3,18.9,22.6,23.1,0.703,12.3,13.8,70.3,7.8,9.7,23,25.2,0.515,0.667
Incar Word,18.7,0.371,16.4,0.419,57.5,0.506,56.8,0.462,19.5,20.7,23.7,23.6,0.702,13.1,13.9,72.9,8.9,9,22.8,22.9,0.6,0.5
Indiana,16.1,0.342,19,0.299,54.5,0.491,57.4,0.468,18.3,21,24.7,20.4,0.73,15.1,12.2,70.7,10.6,8.6,25,19.4,0.531,0.4
Indiana St,18.7,0.343,17.3,0.35,52.9,0.498,53,0.473,19.1,19.3,22.9,23.2,0.726,11.4,11.7,67.8,7.3,8,22.8,22.8,0.656,0.727
Iona,25.8,0.396,19.4,0.341,58.9,0.558,64,0.504,17.7,17.7,22.4,18.8,0.714,10.6,11.9,72.9,7.6,11.4,22.3,23.6,0.667,0.444
*Iowa,16.5,0.35,21.9,0.317,60.1,0.506,58.8,0.473,18.2,21.8,27.2,20.8,0.735,11.2,13.3,72.7,11.8,9,25.8,20.8,0.606,0.222
Iowa State,23.3,0.358,21.1,0.341,62.2,0.544,63.1,0.46,17.3,19.4,22.6,19.4,0.693,10.6,11.6,74.5,8.9,9.6,26.8,24.5,0.778,0.75
IPFW,19.9,0.384,17.8,0.348,54.1,0.54,55.9,0.52,17.1,19.4,22.5,18,0.664,12.6,12,68.7,8.8,7.8,21.7,19.9,0.667,0.636
IUPUI,13.7,0.304,16.5,0.37,54,0.468,57.3,0.536,16.1,17.5,17.6,19,0.735,11.4,10.1,67.4,6.3,9.1,20.8,24.3,0.103,0
Jackson St,13.3,0.293,18.4,0.347,55.1,0.456,50.4,0.48,22.9,19.1,22.2,28.2,0.724,15,14.5,70.1,10.6,8.1,21.8,21.3,0.355,0.4
Jacksonville,18.2,0.336,19.9,0.39,57.2,0.484,57.6,0.543,19.1,20,24.1,22.4,0.7,13.6,13.3,71.4,10.7,10.2,20.8,23.4,0.357,0.5
James Mad,17.8,0.273,20.7,0.351,51,0.482,53.2,0.468,19.5,20,24.2,23.6,0.685,12.2,11.9,66.6,8.5,9.3,21.9,22.6,0.355,0.539
Jksnville St,17.6,0.316,13.6,0.387,53,0.459,50,0.52,19.4,19.3,21.9,23.8,0.67,11.1,12.2,65.1,9,8.8,17.9,22.8,0.276,0.143
Kansas,15.9,0.34,17.6,0.355,55.3,0.555,56,0.443,20.9,21.2,26.7,25.5,0.711,13.2,11.3,70.6,10.5,9,25.2,18.6,0.714,0.375
Kansas St,18.1,0.331,16.8,0.293,55.8,0.483,53.8,0.459,21.7,18.8,22.5,24.4,0.656,12.2,12.6,68,10.7,10,21.8,22,0.606,0.625
Kennesaw St,17.2,0.34,16.1,0.338,53.5,0.453,55.2,0.514,21.9,18,20.5,26.1,0.652,16.3,12.4,70.3,9,10,19.9,22.6,0.138,0.429
Kent State,21,0.35,16.8,0.346,55.5,0.474,52.1,0.477,20.9,17.7,20.5,24.8,0.706,12.3,13.1,68.7,8.5,8.6,20.8,22.1,0.484,0.539
Kentucky,15.3,0.333,17.2,0.322,55.6,0.501,56.9,0.449,18.4,22.2,28.7,21.2,0.685,12,10.7,68.4,13,9.1,24.2,18.1,0.744,0.429
LA Lafayette,19.2,0.371,17.7,0.332,59.9,0.496,58,0.506,21,21.4,26.5,25.5,0.665,13.6,13.4,74.1,12,9.4,22.9,22.3,0.625,0.636
LA Monroe,16.9,0.314,20.1,0.333,54.7,0.47,55.7,0.488,18.7,17.2,19.4,21.3,0.626,13,10.9,67.5,9.2,9.6,22.5,23.1,0.346,0.6
La Salle,17.5,0.325,15.7,0.331,56.2,0.453,57.2,0.475,16,17.5,22,18.4,0.708,11.6,11.7,68.4,9.3,9.6,22,23.3,0.484,0.6
LA Tech,23.3,0.33,15.4,0.315,61.6,0.522,56.5,0.456,19.1,20.6,25.7,21.8,0.674,11.4,16.4,74,11,9.4,24.2,23.1,0.778,0.833
Lafayette,18.5,0.397,20.8,0.372,53.7,0.506,55.9,0.534,17.8,17.6,17.9,20,0.756,12.5,11.7,67.7,6.8,9.5,19.3,21.3,0.333,0.111
Lamar,10.5,0.308,17.2,0.379,54.3,0.468,57.6,0.535,18.5,18.7,21.6,22.2,0.744,14,12.9,70.8,7.7,10.2,20.7,22.7,0.133,0.167
Lehigh,17.3,0.359,19.4,0.34,54.9,0.465,58.5,0.467,17.9,17.1,17.9,18.2,0.707,12,11.2,68.5,7,9.8,22.7,23,0.438,0.462
Lg Beach St,18.8,0.316,19.8,0.329,59,0.491,56.2,0.5,17.9,17.7,18.2,20.9,0.664,12.2,12.6,68.8,10.9,10.2,21.5,22.6,0.433,0.4
Liberty,15.8,0.357,21.6,0.35,55.6,0.484,55.4,0.5,18.1,17.4,19.2,21.1,0.702,13.4,9.8,67.3,10.8,8,22.7,19.4,0.276,0.3
Lipscomb,25.9,0.355,22.1,0.352,55.8,0.497,55.1,0.552,22.1,21.7,26.7,26.9,0.682,12.5,14.4,72.9,8,9.6,21.6,25.8,0.483,0.6
LIU-Brooklyn,21.8,0.345,21.8,0.39,57,0.478,61.1,0.525,17.6,18.4,21.6,18.9,0.717,12.8,10.8,70.8,8.9,10.4,21,22.2,0.31,0.636
Longwood,16.3,0.341,21.8,0.377,57.3,0.456,56.3,0.552,19.7,16.1,17.7,25,0.73,13,12.6,70.9,7.6,9.9,19.3,24.9,0.143,0.6
