Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
California,15.6,0.359,14.2,0.334,56.6,0.47,55.8,0.456,19,17.1,17.2,21.7,0.65,11,9.6,68.3,7.5,7.4,24.7,24.2,0.546,0.625
Campbell,22.4,0.36,16.2,0.347,50.8,0.465,50,0.527,18.2,16.2,18.2,21.2,0.623,12.6,11.9,64.1,8.2,7.7,19.3,22.7,0.241,0.143
Canisius,20.5,0.318,19.1,0.322,56.5,0.461,51.6,0.461,18.4,16.9,18.1,21,0.72,11.9,13.9,66.6,10.3,9,21.2,21.8,0.546,0.455
Central Ark,19.2,0.353,17,0.376,52.6,0.465,59,0.544,20.8,18.4,20.7,25.1,0.678,18.2,13.1,73,7.7,11,20.1,22.5,0.069,0.5
Central Conn,14.6,0.322,20.6,0.345,54,0.432,58.5,0.512,13.8,15.6,15.5,14,0.71,13.7,10.2,65.9,9.2,9.5,21,22.2,0.161,0.5
Central FL,19.2,0.345,18.4,0.356,54.4,0.476,60.6,0.503,15.7,17.1,19.1,16.5,0.644,12.9,10.4,67.6,8.5,11.4,21.4,22.4,0.379,0.667
Central Mich,26.6,0.369,19.3,0.344,55.3,0.537,53.5,0.517,17.8,19.2,20.2,19.4,0.727,10.4,13.4,67.5,7.9,8.7,20.8,22,0.69,0.75
Charl South,27.5,0.337,22.4,0.367,58.7,0.467,55.1,0.505,17.1,17.9,20.5,17.9,0.704,11.5,12.7,68.7,10.9,8,22,23.5,0.571,1
Charlotte,16.7,0.376,21.3,0.365,57.9,0.498,58.2,0.483,17.4,19.5,21.4,19.3,0.65,13.5,12.7,70.7,10.7,9.6,23.6,22.1,0.438,0.313
Chattanooga,19.2,0.344,14.9,0.35,53.7,0.499,54,0.463,19.7,19.7,23.5,23.3,0.688,12.9,12.4,68.7,9.5,8.4,21.4,20.7,0.667,0.5
Chicago St,20.1,0.302,18.3,0.381,53.5,0.406,47.4,0.5,22.2,15.8,14.5,25.6,0.684,14.9,14.1,65.1,10.3,8.6,18.4,22.2,0.172,0.4
Cincinnati,14.9,0.329,17.7,0.319,50.1,0.496,53.1,0.422,14.9,17.1,18.6,13.8,0.67,12.7,12,62.1,10,9.1,21.6,17.9,0.677,0.375
Citadel,16.9,0.402,19.2,0.351,47.1,0.468,53.6,0.565,15.3,17.6,17.9,15.9,0.766,13.1,9.5,61.6,6.9,9.2,18,17.9,0.296,0.556
Clemson,18.5,0.299,18.3,0.328,54.4,0.465,55.2,0.438,16.2,17.8,18.7,17.2,0.682,11.7,11.2,64.9,10.5,9.2,22.5,21.3,0.516,0.364
Cleveland St,19.1,0.379,17.8,0.362,53.2,0.488,49.3,0.456,19.3,15.8,16.6,21.5,0.685,12,13.2,64.4,9.1,7.9,21,20.1,0.531,0.375
Coastal Car,18.7,0.359,21.5,0.338,55.3,0.481,54.3,0.458,16.7,18.1,21.5,19,0.705,11.3,11,66.3,10.2,8.4,24,20.7,0.667,0.667
Col Charlestn,17.4,0.343,16.2,0.358,51.7,0.432,50.2,0.455,20.5,17.7,16.8,23.8,0.66,12,11.4,63.6,8.1,9.3,21.3,23.2,0.273,0.273
Colgate,19.2,0.395,16.7,0.378,49.9,0.538,51.9,0.479,17.1,15,13.7,18.2,0.696,11.6,10.1,62.6,5.7,7.7,21.8,20.5,0.469,0.182
Colorado,15.7,0.335,20.7,0.353,54.7,0.477,56,0.465,18.1,19.7,22.4,19,0.713,13.2,11.3,68.1,10.2,8.4,24.3,20.9,0.471,0.167
Colorado St,20.4,0.348,19,0.363,55.7,0.49,53.9,0.457,16.8,20.3,23.3,17.9,0.678,10.5,11.8,67,10.4,7,24.2,21.7,0.788,0.889
Columbia,23.5,0.359,15.2,0.331,51.2,0.497,50.5,0.472,18,15.1,14.4,19.3,0.708,12.1,10.1,61.8,8.6,7.9,21,19.3,0.444,0.375
Connecticut,18.2,0.355,18,0.332,52.1,0.484,53.3,0.428,16.3,16.6,16.9,17.4,0.707,11.5,11.1,63.7,7.7,9.1,22.3,19.9,0.571,0.333
Coppin State,26.4,0.353,18.6,0.384,61.3,0.424,60.2,0.532,20.5,17.8,18.7,25.5,0.692,13.5,14.2,75.2,8.5,11.3,19.9,28.1,0.233,0.333
Cornell,19,0.303,19.5,0.333,51.2,0.441,52,0.432,19.3,17.5,20.1,21.6,0.748,12.2,12.4,66.3,6.6,8.6,22.8,24.6,0.414,0
Creighton,23,0.346,19.3,0.38,53.8,0.476,54,0.469,17.8,18.5,19.5,18,0.725,11.9,11,65.9,8.5,8.2,22.8,21.6,0.424,0.231
CS Bakersfld,16.7,0.32,17.8,0.366,51.4,0.45,47.4,0.444,20.8,18.2,19.4,23.1,0.725,12.4,11.8,63.2,9.6,7,21.7,20,0.367,0.231
CS Fullerton,16.9,0.318,17.4,0.387,54.5,0.448,54.1,0.481,18.7,18.3,20,22.2,0.687,12.8,11,68.2,8.7,7.5,22.9,24,0.241,0.571
Dartmouth,17.2,0.346,18.7,0.354,52.1,0.479,48.8,0.478,19.2,18.1,18.6,20.9,0.646,12.9,13.4,64.5,9.3,7.7,21.1,21.7,0.483,0.444
Davidson,27.4,0.387,18.8,0.3,60,0.531,57.6,0.514,18.6,17.8,17.1,19.9,0.696,9.5,11.5,68.8,8.8,9.8,23.4,22.5,0.742,0.6
*Dayton,18.6,0.356,17.6,0.325,48.8,0.526,52.8,0.465,15.9,19.9,23.5,16.2,0.686,11.5,13.6,65.9,5.6,8,22.8,22,0.75,0.769
Delaware,19.2,0.345,21.9,0.369,54.9,0.445,58.5,0.467,17.4,18.9,20.9,19.4,0.686,12.2,10.3,68.3,8.6,9.9,23,24.4,0.333,0.539
Delaware St,22,0.35,21.9,0.335,58.5,0.448,59.5,0.48,17.4,17.6,18.4,21.4,0.708,13.6,11.3,70.9,9.7,10.2,24.2,23.7,0.471,0.4
Denver,19.6,0.38,13.2,0.371,45.6,0.555,44.3,0.517,20.4,15.9,14.2,22.7,0.766,11.3,12,59.4,4.7,7.3,18,20.2,0.4,0.125
DePaul,22,0.352,16.6,0.312,54.3,0.492,53.6,0.527,21.2,17.6,19.8,26.1,0.721,13.3,12.7,69,7.8,10,19.8,22.7,0.375,0.714
Detroit,18.1,0.379,21,0.337,56.9,0.463,52,0.53,21.1,18.2,18.4,25.1,0.692,13.3,14.6,70.4,8.5,8.2,21.3,23.1,0.419,0.4
Drake,15.8,0.406,18.4,0.385,45,0.474,51.1,0.532,15.6,16,15.3,15.6,0.769,13.2,10,60.5,4.9,7.9,18.2,19,0.267,0.333
Drexel,18.1,0.33,15.9,0.351,52.2,0.426,52,0.49,17.5,16.5,17.3,18.6,0.743,10.5,11.5,63.4,7.8,8.8,21,23.2,0.379,0.6
Duke,19,0.387,16.1,0.314,56.3,0.561,58.4,0.463,15.6,19.1,22.4,14.2,0.696,10.9,12.5,67.9,10.3,9.5,24.2,19.4,0.895,0.75
Duquesne,21.3,0.362,23.8,0.385,57.5,0.495,59.4,0.477,18,17.3,18.7,20.1,0.633,12.3,10.8,69.3,9.3,10.6,23.3,22.4,0.367,0.2
E Carolina,20.3,0.356,19,0.316,53,0.453,52.7,0.53,17.3,16.6,15.9,18,0.681,11.2,11.9,63.8,7.9,9.5,19.1,22.4,0.387,0.571
E Illinois,19.5,0.374,19.7,0.344,51,0.478,55.2,0.472,16.5,17.1,17,17.4,0.653,12.1,12.1,65.3,6.2,9.9,20.5,22.9,0.516,0.546
E Kentucky,25,0.351,20.2,0.392,52,0.549,49.7,0.499,16.9,16.9,16.7,17.4,0.78,11.6,17.5,66.2,5.4,9.4,18.1,22.1,0.613,0.364
E Michigan,21,0.314,20.9,0.331,55.2,0.467,54.3,0.44,19.7,19.5,22.9,23.1,0.716,12,14.5,69.2,9,10.3,22.4,23.4,0.548,0.429
E Tenn St,24.9,0.367,24,0.358,55.6,0.455,54.5,0.495,20.2,18.6,22.2,23,0.725,12.8,14.7,70.3,9,9.6,21.4,23.2,0.5,0.539
E Washingtn,25.3,0.393,20.2,0.387,58.5,0.522,57.2,0.492,18.2,19.1,20.6,20.6,0.717,10.9,12.3,70.3,8.6,9.3,22.6,23.2,0.719,0.667
Elon,20.1,0.345,18.5,0.35,56.2,0.451,53.7,0.506,21.1,19.8,21.1,23.7,0.684,13.1,14.6,70.6,8.5,9.3,21.3,24.7,0.419,0.455
Evansville,12.1,0.353,18.7,0.355,50.7,0.518,54.5,0.475,17.4,19.6,22.5,17.1,0.748,12.8,13.2,68.1,5.9,7.9,22.4,20.5,0.657,0.385
F Dickinson,21.5,0.321,18,0.347,56.8,0.455,52.6,0.525,22.6,17.8,19.4,27.3,0.689,12.7,15.8,69.9,8.5,11.7,17.7,25.6,0.25,0.364
Fairfield,19.8,0.322,13.9,0.343,50.9,0.432,52.5,0.472,19.1,17.7,18.9,22.4,0.716,12.8,11.6,65,7.9,9.5,20.5,22.9,0.226,0.125
Fla Atlantic,20.7,0.349,11.4,0.299,54.2,0.456,54.1,0.513,18.3,16,15.1,20.3,0.678,12.6,10.8,66.1,7.3,9.1,20.7,23.9,0.259,0.333
Fla Gulf Cst,17.5,0.339,19.8,0.296,57.3,0.47,56.7,0.458,17.3,17.5,19,19.6,0.666,11.6,11.3,67.6,10.3,9.7,23.6,21.7,0.633,0.8
Florida,20.4,0.323,15.7,0.328,53.4,0.503,49.9,0.446,16.9,15.8,16.8,18.9,0.635,12.4,13.7,64.7,9.3,7.7,21.1,21.2,0.485,0.462
Florida A&M,14.5,0.283,21.2,0.351,51.7,0.409,56.3,0.54,17.9,17.9,19.6,19.7,0.649,14.3,12.1,67.8,7.2,10.3,20,25,0.069,0
Florida Intl,14.6,0.313,21.4,0.337,51.5,0.486,55.4,0.464,18.4,16.8,19.3,20.3,0.643,14.9,12.7,67.9,7.9,9.6,22.6,22.2,0.452,0.818
Florida St,14.2,0.313,18,0.324,50.5,0.514,55.4,0.465,18.5,20.3,23.7,21,0.67,15.1,12.5,68.6,8.3,9.2,21.9,19.8,0.515,0.546
Fordham,19.7,0.298,19.6,0.341,54.6,0.478,53.7,0.496,18.9,16.7,18.1,22.4,0.721,14.8,12.5,68.1,10.3,8.2,22.6,21.7,0.3,0.25
Fresno St,17.5,0.313,17.2,0.348,52.3,0.472,51.6,0.48,20.6,17.6,20.3,22.9,0.693,11.1,13.1,66.2,6.9,9.2,20.5,22.6,0.433,0.7
Furman,19.5,0.328,19.1,0.36,49.2,0.489,54.2,0.513,17.9,18.5,21.7,19.8,0.667,13.3,10.5,64.8,8,9.3,20.9,21.3,0.29,0.4
GA Southern,23,0.314,19.9,0.312,55.4,0.475,53.5,0.459,17.2,17.5,20,17.5,0.661,11.9,14.2,66.4,10.1,9.9,21.7,22.9,0.679,0.571
GA Tech,15.8,0.267,17.4,0.319,58.1,0.461,53,0.499,16.6,17.4,18.1,17.9,0.648,12.6,11.7,66.7,12.4,6.7,22.7,21,0.387,0.214
Gard-Webb,24,0.346,17.6,0.379,57.3,0.504,59.4,0.519,16.4,17.4,21.6,17.3,0.679,12,11.8,70,9,9.9,21.5,23.1,0.516,0.6
Geo Mason,13.2,0.316,19.1,0.353,53.4,0.449,52.5,0.484,20.6,19.4,21.9,23.5,0.669,14.3,12.1,67.5,10.8,8.2,22.1,20.8,0.267,0.571
Geo Wshgtn,15.6,0.352,19.1,0.319,53.9,0.473,55.6,0.449,16,19.2,21.5,16.1,0.674,11.9,11.7,65.1,11,9.8,23.1,20.7,0.629,0.625
Georgetown,17.2,0.353,18.4,0.362,53.1,0.505,52,0.431,20.2,20,23.3,22.9,0.704,12.5,13.2,67.2,9.8,8.6,22.5,19.9,0.667,0.546
Georgia,16.3,0.342,20.1,0.312,52.4,0.472,57,0.432,18.4,20.6,25,19.5,0.692,12.8,11.1,68.1,9.4,8.8,25.6,21.5,0.636,0.636
Georgia St,14.7,0.323,21.9,0.331,53.3,0.534,52.1,0.431,18.4,17.3,20.1,20.7,0.731,10.4,15,66,7.9,10.3,20.9,20.1,0.706,0.546
Gonzaga,17.4,0.4,17.2,0.33,54.6,0.57,56.8,0.42,16.8,19.7,21.2,17.4,0.688,10.5,11.2,67.1,8.7,8.6,25.5,18.4,0.919,0.333
Grambling St,12.7,0.284,19.9,0.32,49,0.383,57.2,0.545,19.1,16.1,19.4,22.2,0.648,17.2,11.1,67.5,8.4,10.7,20.6,23.2,0,0
Grd Canyon,19,0.337,16.9,0.336,52.3,0.502,55.6,0.493,19.6,19.4,21,20.1,0.727,11,10.5,66.3,7,9.2,20.5,21.9,0.5,0.467
*Hampton,18.2,0.304,16.6,0.339,56,0.456,55,0.445,21.4,20.5,24.5,25,0.652,14.1,14.1,71.8,10.2,9,23.9,23.9,0.486,0.546
Hartford,24,0.326,17.4,0.316,53,0.46,50,0.52,18.6,16.8,15.8,21.1,0.703,12.1,13.4,65.7,6.6,8.1,20.9,24,0.448,0.818
Harvard,13.6,0.343,16.1,0.34,51.7,0.455,50.8,0.445,15.9,17.9,20.1,16.7,0.721,11.5,12.5,63.7,9.3,7.2,22.4,20.3,0.714,0.75
Hawaii,19.9,0.328,18.7,0.348,57.9,0.493,54.5,0.452,20.3,19.2,21.3,22.9,0.689,13,16.3,71.2,10.2,10,21.4,22.2,0.606,0.5
High Point,16.8,0.386,21.4,0.358,55,0.493,55,0.498,15.6,17.9,18.7,17.3,0.738,11.5,13,67.1,8.4,9,21,21.5,0.667,0.5
Hofstra,24.6,0.362,18.7,0.339,59.2,0.509,55.5,0.488,19.1,19.4,23.6,21.5,0.7,11.1,13.7,71.2,10.4,8.1,23.2,22.7,0.588,0.333
Holy Cross,18.3,0.337,15.6,0.375,54.3,0.454,49.5,0.517,19.5,17.1,18.9,20.4,0.716,10.9,13.9,65.8,8.6,7.1,18.9,22.7,0.448,0.5
Houston,25.3,0.321,18.1,0.337,56.1,0.452,54.5,0.484,17.6,17.3,18,18.1,0.68,13.3,12.8,66.5,11.3,9.6,21.5,22.8,0.406,0.3
Houston Bap,14,0.315,17.7,0.379,55.8,0.475,55.6,0.51,20.7,19.7,22,24.3,0.729,14.6,11.7,69.7,11.1,9.2,21.2,20.1,0.333,0.8
Howard,15.1,0.289,20.3,0.314,49.4,0.474,52.5,0.448,18.4,18.2,21.4,21,0.699,16.1,13.9,66.4,8.9,10.3,21,19.1,0.448,0.444
Idaho,19.1,0.41,24.5,0.363,57,0.492,56.8,0.53,21.3,19.7,22,23.6,0.708,12.1,10.7,70.9,8.7,7.8,23.2,21.3,0.393,0.333
Idaho State,13.6,0.349,23,0.37,52.9,0.466,53.8,0.493,17.6,18.9,19.6,18.7,0.651,12,12,65.6,8.5,9.2,20.2,22.5,0.179,0.167
IL-Chicago,18.5,0.318,15.3,0.403,54.5,0.415,52.5,0.519,18.1,19.8,21.8,20.5,0.739,11.3,11.7,66.8,8.8,7.6,20,23.7,0.25,0.364
Illinois,20.3,0.355,19.5,0.329,57.7,0.444,54.1,0.473,17.5,16.6,18,16.4,0.794,9.9,12.9,67,9,7.8,22.6,23.4,0.576,0.8
Illinois St,17.6,0.343,17.1,0.328,55.4,0.468,51,0.459,19.2,17.8,19.3,20.6,0.713,12.8,13.2,66.4,10.4,8.1,21.9,20.3,0.618,0.417
Incar Word,18.8,0.35,17.1,0.355,56.1,0.518,58.2,0.506,19.1,21,25.4,23.1,0.735,11.2,12.7,72.4,7.4,9,22,23.8,0.56,0.5
Indiana,23.1,0.406,17.8,0.325,58.5,0.502,58.4,0.509,17.7,18.3,19.1,19.1,0.719,11.5,10.7,68.9,10.1,9.4,22.8,20.7,0.588,0.4
Indiana St,20.5,0.357,16.2,0.386,51.4,0.466,54.3,0.447,18.3,19.3,21.8,20.4,0.701,14.1,13.9,68.9,6.7,9.1,22,22.8,0.467,0.625
Iona,24.8,0.396,20.1,0.355,58.6,0.513,63.1,0.457,17.3,18.6,21.9,18,0.701,12.2,11.9,72.7,8.3,11,24.3,23.3,0.743,0.733
Iowa,16.9,0.333,20.5,0.326,56,0.473,56,0.437,15.8,17.9,21.3,16.3,0.744,11.1,12.3,66.7,10.6,9.2,23.6,21,0.647,0.429
Iowa State,21.4,0.362,21,0.347,58,0.543,61.2,0.452,15.5,18.9,21.2,14.7,0.696,11.1,12.9,71.2,8.3,9.6,24.9,22.7,0.735,0.615
IPFW,19.5,0.363,18.9,0.36,51,0.526,56,0.499,16.5,19,20.9,15.5,0.689,12.2,10.4,66.3,6.5,7.8,23,21.9,0.464,0.125
IUPUI,13.7,0.296,15.9,0.383,52.3,0.473,50.8,0.485,20.5,17.3,17.2,21.3,0.701,15.5,13.7,67.1,8.8,7.7,21.1,21.2,0.323,0.667
Jackson St,17.4,0.274,17.6,0.341,56.6,0.438,47.2,0.472,21.7,17.3,18.7,25.5,0.647,14.3,14.8,67.4,11.8,7.3,21.1,21.4,0.344,0.4
Jacksonville,17.1,0.358,20.3,0.368,53,0.431,53.9,0.541,18.3,17.7,20.9,20.9,0.662,12.2,12.5,67.3,7.9,9,19.6,23.9,0.241,0.286
James Mad,18.5,0.374,21.1,0.357,50.2,0.498,55.5,0.483,16.1,18.6,21.2,17.7,0.705,13.1,11.5,65.8,7.4,9.7,21.4,20.8,0.576,0.75
Jksnville St,19.3,0.295,16.3,0.357,54.2,0.423,53.9,0.5,19.3,18.6,20.3,21,0.71,12,12.5,66.7,8.7,10.2,20.6,24.7,0.345,0.556
Kansas,15.6,0.379,18.5,0.315,54.9,0.464,57.9,0.434,17.8,19.3,23.4,19.6,0.724,12.9,11.7,68.4,10.4,10.5,24.7,20.7,0.75,0.583
Kansas St,13.2,0.335,16.1,0.335,49.8,0.468,50.4,0.495,19.9,19.1,22.9,20.7,0.676,13.2,12.8,64.8,8.7,8.4,20,19.5,0.469,0.462
Kennesaw St,20.7,0.315,19.8,0.334,55.1,0.441,58.5,0.51,17.6,15.9,16.4,20.9,0.728,14.1,10.7,68.6,8.7,10.1,21.4,23.9,0.267,0.429
Kent State,19.8,0.366,15.8,0.321,53.4,0.467,53.1,0.448,18.6,17.6,19.8,20.9,0.659,11.1,11.5,64.6,10,9.3,21.7,20.6,0.647,0.6
Kentucky,14.9,0.349,16.6,0.271,55.1,0.512,54.3,0.391,17.1,19.9,24.2,17.2,0.726,10.4,13.7,66.2,11.3,9.5,24.1,17.9,0.974,1
LA Lafayette,18.3,0.347,17.3,0.323,58.2,0.492,58,0.478,18.7,19.2,23.1,21.7,0.72,14.7,13.2,73.1,10.7,8.5,24.9,21.7,0.576,0.444
LA Monroe,17.1,0.299,19.9,0.302,56.4,0.46,55.2,0.443,15.2,14.6,14.7,16.4,0.717,11.4,10.9,65,9.8,9,23.6,22,0.588,0.571
La Salle,15.7,0.321,15.9,0.316,53.2,0.461,54,0.451,17.6,17.2,19.4,18.6,0.694,13,13.1,66.8,8.6,9.2,21.9,22.6,0.515,0.5
LA Tech,21,0.329,16.5,0.336,58.7,0.514,57.1,0.455,16.7,17.7,19.8,17.9,0.687,10.7,15.3,70.2,8.8,10.4,21.5,23.8,0.743,0.667
Lafayette,19.1,0.408,21.5,0.38,54.1,0.528,58,0.515,15.7,16.5,16.4,16,0.766,11.5,11.2,66.5,7.2,10,20.3,20.3,0.594,0.636
Lamar,18.2,0.319,18.7,0.376,53.4,0.507,53.1,0.507,21.1,18.5,22.4,24.4,0.68,15.8,13.8,69.9,9.8,8.6,20.2,20.7,0.423,0.5
Lehigh,15.3,0.348,23.2,0.34,53.9,0.478,57.7,0.44,17.6,17,19.5,18.1,0.723,13.3,11.6,68.6,7.5,9.5,24.1,21.6,0.517,0.636
Lg Beach St,20.4,0.332,20.5,0.33,55.2,0.463,54.7,0.49,19.2,18.1,19,20.2,0.684,14.1,14.5,68.9,9.2,10.2,21.4,22.2,0.452,0.571
Liberty,14.5,0.31,23,0.356,51.1,0.458,55.1,0.48,19.6,19.2,20.5,23.1,0.711,16.4,12.1,68.5,8.5,10,21.8,21.4,0.143,0
Lipscomb,24.6,0.326,22.3,0.383,56.9,0.475,54.8,0.518,21.3,19.7,22.6,25.8,0.704,13,12.4,70.9,9.2,9,22,24.8,0.393,0.556
LIU-Brooklyn,20,0.324,19.5,0.304,57.5,0.428,58.5,0.498,20.1,21.1,22.9,20.8,0.689,13.7,12.7,71.5,10,10,23.1,24.4,0.4,0.5
Longwood,21.9,0.369,20.3,0.375,55.5,0.449,54.3,0.505,19.8,15.9,16.7,24.4,0.717,14.2,14.2,69.9,7.8,10.3,20.2,23.5,0.281,0.455
