Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
Abl Christian,19.2,0.378,16.7,0.37,52.9,0.42,50.9,0.552,20.6,16.5,15,22.7,0.728,12.8,13.5,66.1,6.6,9.1,18.5,24.6,0.25,0
Air Force,20.2,0.354,22.2,0.366,50.7,0.54,50.5,0.515,17.8,17.1,15.7,17.9,0.659,11.7,12.3,62.4,7.4,8.9,19.4,19.8,0.414,0.5
Akron,26.9,0.349,16.3,0.33,56.4,0.467,53.2,0.438,18.8,16.8,17.6,21.8,0.66,12.2,12.2,66.9,9.7,9.1,22.3,22.7,0.588,0.385
Alab A&M,19.8,0.291,15.8,0.332,52.6,0.454,54.3,0.507,19.8,19.1,21.9,22.4,0.648,14.1,11.9,66.2,10.8,10.7,19.9,20.9,0.286,0.333
Alabama,20.5,0.322,19.6,0.326,50.5,0.523,52.5,0.465,19.2,19.4,22.1,20.7,0.718,11.8,12,64.9,8.1,9.3,22,21,0.546,0.5
Alabama St,16.1,0.354,17.5,0.336,59.4,0.464,57.2,0.453,18,18.3,20.6,20.4,0.654,13.7,13.3,71.4,11.2,9.1,24,21.8,0.63,0.75
Albany,17.3,0.358,20.9,0.362,50.5,0.479,50.2,0.463,16.5,18.7,19.7,15.2,0.758,11.5,12.4,62.9,8.4,7,21.7,18.4,0.727,0.636
Alcorn State,17.1,0.284,16.5,0.382,57.2,0.433,55.9,0.51,18,17.5,21.5,22.4,0.657,11.7,12.6,69.1,9.6,10.4,19.1,24.8,0.167,0.125
American,17.3,0.374,15.3,0.342,44.8,0.517,47.1,0.509,14.5,17.1,15.4,15.5,0.705,11.2,12.6,59,4.6,7.7,18.2,19.8,0.515,0.6
App State,20.3,0.316,16.2,0.323,55.2,0.445,55.2,0.515,19,19.2,18.6,20.8,0.708,13.7,11.4,68.2,9.6,8.3,22.1,23.4,0.414,0.75
AR Lit Rock,20.4,0.34,19.6,0.363,57.1,0.458,54.4,0.491,19.1,18.6,20.5,22.2,0.709,10.5,13.4,68.9,9.1,8.7,22,24.6,0.4,0.25
Arizona,14.1,0.36,16.2,0.336,54.4,0.533,51.3,0.427,17.9,20.7,25.6,19.2,0.719,11.1,13.7,68.2,9.7,5.7,24.9,18.9,0.895,0.571
Arizona St,19.4,0.35,15.3,0.362,53.5,0.499,53.6,0.486,18.8,20.6,22.5,18.3,0.667,13.9,12.9,68.9,8.9,6.6,22.8,21.8,0.529,0.385
Ark Pine Bl,19.1,0.332,17.8,0.369,51.2,0.441,49.5,0.488,19.4,17,18.3,24.2,0.68,15.8,16.7,67.3,8.3,10.5,17.1,21.4,0.375,0.625
Arkansas,18.9,0.349,17.6,0.352,61,0.488,56.4,0.462,19,19.3,22.8,21.9,0.724,11.9,15.8,72.3,11.6,10.1,21.5,22,0.75,0.667
Arkansas St,17.4,0.32,19.9,0.331,55.8,0.441,58.1,0.476,17.2,16.8,18.4,20.1,0.695,13.5,11.9,69.5,9.1,9.5,22.9,23.9,0.357,0.455
Army,22.8,0.323,16.3,0.357,58.6,0.511,56.5,0.499,20.7,18.8,18.8,23,0.684,13.3,13.2,71.7,8.7,9.3,22.2,23.6,0.483,0.778
Auburn,20.7,0.35,17.6,0.333,53.4,0.434,53.9,0.537,20.4,21.7,26.1,22.6,0.667,12.9,14.6,70.2,8.1,9.4,19.4,24.5,0.412,0.583
Austin Peay,16.6,0.301,19.4,0.386,55,0.442,53.5,0.532,17.5,19.5,22.8,20.5,0.662,14.1,13.8,69.4,10.3,7.9,20.8,23.5,0.214,0.625
Ball State,22.9,0.336,17,0.357,52.3,0.477,51.6,0.518,19.3,17.8,18.6,21.7,0.697,14.1,11.9,66.7,8.5,7.1,20.5,21.9,0.207,0.3
Baylor,18.3,0.382,19.1,0.298,54.8,0.461,53.6,0.464,16.6,17.9,21.1,17.2,0.67,12.7,12.2,64.6,12.9,9.5,22.8,18.8,0.697,0.6
Belmont,26,0.377,21,0.343,54.4,0.564,57.4,0.512,16.6,18.8,17.5,16.2,0.692,13.7,12.4,68.6,7.6,9.1,22.7,21.1,0.656,0.733
Beth-Cook,16.7,0.291,16.4,0.331,48.8,0.444,48.2,0.475,19.5,17.8,19.7,22.3,0.71,13.7,12.6,62.4,9.4,9,19.2,19.9,0.3,0.333
Binghamton,16.7,0.306,20.2,0.375,49.3,0.44,52.6,0.498,17.9,19.1,19.7,17.8,0.661,13.7,13,65,7.3,9,20.2,23.6,0.167,0.167
*Boise State,22.2,0.389,18.5,0.313,53.4,0.496,51.8,0.481,17.2,16.7,17.3,16.3,0.724,10.2,12.3,64.6,7.3,7.2,22.3,21,0.719,0.556
Boston Col,19.9,0.324,16.5,0.335,52.1,0.521,52.6,0.49,19,17.8,18.3,21.5,0.705,12.1,12.3,66.1,6.8,8.8,20.7,21.8,0.406,0.375
Boston U,21.1,0.368,21.7,0.374,49.7,0.508,54.1,0.509,17.6,18.3,22.3,18.2,0.697,12.4,10.5,65.7,7,7.6,21.2,20.3,0.414,0.5
Bowling Grn,20,0.338,20.2,0.326,54.5,0.486,53.4,0.461,16.7,17.6,17.7,17.2,0.719,11.8,12.4,65.4,9.2,8.6,22.7,21.7,0.656,0.546
Bradley,18.2,0.301,17.7,0.369,51.3,0.407,46.9,0.472,19.8,17,19.4,21.7,0.668,12.6,13.5,63.2,9.8,7.6,20.4,22.6,0.25,0.375
Brown,17.3,0.311,17.6,0.348,51.8,0.472,57.4,0.47,19.2,20.6,23.3,20.9,0.697,14.6,11,68.8,8.8,9.4,23.7,22.7,0.379,0.6
Bryant,21.1,0.346,19.6,0.315,54.3,0.469,55.2,0.489,18.1,16.7,17.8,19.8,0.75,11.8,10.7,66.1,8.1,9.5,21.1,21.6,0.516,0.875
Bucknell,17.5,0.381,15.8,0.367,53.4,0.462,53.7,0.478,18.7,19.2,21.5,20.6,0.7,11.1,9.4,66,8.7,7,22.2,21.6,0.546,0.636
Buffalo,17.7,0.341,21.6,0.33,58.2,0.476,57,0.48,18.4,21.1,24.8,19.5,0.719,11.5,13.6,70.6,10.8,9.3,23.9,22.7,0.697,0.556
Butler,15.9,0.356,17.9,0.307,55.4,0.463,52.5,0.471,17.4,19.1,22.6,17.5,0.686,11.1,12.7,67.1,9.6,6.8,22.7,21.2,0.677,0.6
*BYU,21.6,0.39,18.8,0.331,59,0.502,58.1,0.496,20.6,20.8,25.1,22.8,0.768,12.2,13.1,73.3,9.8,8.8,24.5,21.6,0.697,0.455
Cal Poly,18.2,0.316,16.2,0.356,54.7,0.425,50.4,0.473,16.5,16,17.2,15.8,0.671,8.8,10.3,61.3,9.7,7.6,20.7,22.7,0.407,0.25
Cal St Nrdge,10,0.33,21.6,0.366,52.6,0.443,55.9,0.485,18.3,18.5,21.6,20.1,0.766,12.9,11,68,7.5,8.7,22.2,22.1,0.226,0
