Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Fresno St,20.9,0.332,21.8,0.369,54,0.529,59.1,0.521,15.3,15.7,16.4,15.6,0.665,12.3,10.3,67.9,6.6,8.7,21.5,22.5,0.333,0.455,0.6
Furman,29.9,0.332,21.4,0.341,62.1,0.543,61.1,0.539,16.3,16.3,19.3,17.4,0.735,11.4,11.6,73.2,9.3,8,24.3,24.6,0.5,0.571,-1.4
GA Southern,26.6,0.352,21.5,0.355,59.7,0.493,59,0.513,20.1,15.5,17.3,25.4,0.732,13.2,12.2,72.9,8.5,10.2,21.9,24.2,0.273,0.222,-2
GA Tech,24.3,0.327,24.4,0.32,60.2,0.482,62.1,0.493,16.5,16.2,17.4,19.5,0.705,12.5,8.7,71,10.1,8.9,25.3,23.2,0.452,0.769,6.8
Gard-Webb,21.1,0.346,19.9,0.337,59.6,0.475,58.1,0.501,19.5,17.7,21.4,22.9,0.629,11.4,11.3,72.2,9,8.1,24.1,25.3,0.467,0.615,-1.9
Geo Mason,20.4,0.349,23,0.346,53.7,0.524,55.8,0.448,16.6,17.9,20,17.9,0.739,11.8,10.6,66.7,8.5,8.1,24,20.7,0.633,0.444,1.6
Geo Wshgtn,24.8,0.356,25.6,0.347,59.8,0.505,66.2,0.488,14.6,16,20.2,15.4,0.748,12.4,10.2,74.5,7.5,9,25.8,24.6,0.467,0.625,-1.3
Georgetown,23.9,0.346,21.6,0.352,58.5,0.463,57.6,0.575,16.6,16.8,19.8,19.4,0.73,12.2,11.3,69.7,10.3,8.4,20.3,22.6,0.29,0.455,4.2
Georgia,23.9,0.331,23.6,0.336,58.6,0.499,61.5,0.499,16.5,18.4,22.7,18.1,0.732,11.5,11.5,72.7,7.9,9.1,23.7,24,0.516,0.625,7
Georgia St,22.2,0.322,23.8,0.308,62.8,0.486,61.7,0.512,17.9,16,18,22.1,0.756,9.8,10,72.4,8.6,9.8,24.2,25.5,0.414,0.556,-2.1
Gonzaga,19.5,0.352,22.6,0.337,61.7,0.588,61.5,0.446,15.8,17,19.4,15.8,0.728,10.1,11.6,71.5,9.6,8.9,26,19.7,0.793,0.5,7.1
*Grambling St,15.4,0.327,18.4,0.348,52.8,0.475,55.9,0.492,16.5,16,20.2,19.3,0.715,13.9,13,68.4,8,9.7,20.2,21.4,0.5,0.4,-7.6
Grd Canyon,20.5,0.345,19,0.325,56.7,0.526,57.5,0.439,18.1,19.8,24.7,19.8,0.756,12.4,13.4,71.3,9.9,8.7,24.5,20.2,0.867,0.833,-0.2
Hampton,23,0.309,24.3,0.339,59.4,0.469,62.3,0.521,16.3,16.1,17.5,18.6,0.714,12.5,10.5,71.7,8.7,9.9,22.3,25.6,0.2,0.375,-6.9
Harvard,22,0.337,25.1,0.339,55.8,0.499,61.5,0.495,15.2,17,19.9,15.9,0.705,12.2,10.9,70.2,7.5,9.5,23.4,24,0.5,0.778,-2
Hawaii,23,0.336,14.4,0.313,54.1,0.544,56.8,0.491,17.7,18.2,20.7,19.6,0.723,12.5,10.8,70,6.6,6.8,23.8,21.9,0.567,0.5,-3
High Point,23.3,0.334,17.8,0.34,58.6,0.537,56.6,0.498,18.6,20.8,26.1,21.5,0.784,11.3,9.9,70.5,11.3,6.9,24.4,19.5,0.742,0.462,-3.5
Hofstra,26.4,0.369,24.5,0.345,57.5,0.561,57.7,0.471,14.5,14.2,12.8,16.5,0.756,10.5,11.7,68.5,5.9,8.5,23.1,22.8,0.613,0.5,-0.1
Holy Cross,21.1,0.35,23,0.387,56,0.487,58.1,0.507,16.4,14.2,14.5,17.8,0.667,10.8,8.4,66.9,6.7,8,22.8,24.8,0.281,0.625,-7.5
Houston,22,0.348,20.3,0.302,61.2,0.488,49.3,0.44,17.9,16.3,18.8,19.5,0.687,8.7,16.1,66.4,12.7,8,22.3,21,0.903,0.667,12.1
*Howard,21.4,0.371,20.1,0.342,55.7,0.493,58.6,0.511,19,18.9,22.6,22.9,0.747,15,12,72.2,9.1,9.3,22.8,20.3,0.448,0.5,-6.5
Hsn Christian,16.6,0.295,22.6,0.34,59,0.479,66.1,0.555,14.7,17.9,21.9,18.9,0.641,15.3,10,74.9,9.1,10.9,22.7,25,0.148,0.375,-8.9
Idaho,22.6,0.335,20.9,0.358,55,0.502,54.2,0.534,17.9,14.9,14.7,20.2,0.741,11.5,10.9,67.3,6,7.7,21.1,23.9,0.3,0.4,-5.8
Idaho State,19.6,0.321,16,0.358,55.5,0.53,54,0.544,16.5,18,18.8,17.6,0.686,11,12,67.2,8.4,7.1,20.2,21.1,0.387,0.364,-4.6
IL-Chicago,23.7,0.36,20.3,0.322,58.2,0.484,58,0.492,17.7,14.6,15.1,20.8,0.692,12.4,12.2,71.8,6.6,7.6,23,25.8,0.344,0.333,-0.5
Illinois,23.8,0.35,17.6,0.347,62.1,0.547,63.7,0.46,15.2,18.4,22.9,17.2,0.741,10.9,8.8,72.6,11.2,8.2,26.9,21.4,0.742,0.5,10.7
Illinois St,20.5,0.288,22.1,0.325,54.6,0.504,55.8,0.523,15.7,18,19.7,15.2,0.717,11.3,10.7,66.6,8.5,7.3,22.9,22.5,0.452,0.455,-1.2
Incar Word,22.8,0.32,20.6,0.367,57.5,0.483,59.8,0.502,19,17.9,21.3,24.3,0.723,15.6,10.9,73.6,9.2,9,23.4,23.3,0.207,0.364,-8.6
Indiana,15.5,0.328,24.8,0.342,55.6,0.543,61.1,0.476,16.8,18.6,21.5,19,0.654,12.1,10.3,70.8,7.6,9.1,24.2,22.5,0.581,0.75,8.4
Indiana St,28.5,0.384,20.9,0.33,57.8,0.62,61.8,0.487,16.4,16.7,18.8,15.8,0.803,11.8,11.1,73,5.8,7.1,26.9,21.8,0.818,0.5,2.5
Iona,23.1,0.353,21.4,0.344,60.4,0.483,53,0.542,18,15.2,17.5,20.1,0.654,10.2,15.4,69.8,9,8.2,19.6,24.2,0.484,0.2,-3.7
Iowa,18.7,0.345,21.9,0.355,63.4,0.532,61.9,0.511,16.7,17.4,20.7,20.3,0.783,9.6,12.1,74.1,8.2,10,24,23.9,0.581,0.75,9.6
Iowa State,18.5,0.348,23.3,0.322,58.8,0.517,51.2,0.475,16.5,18.5,21.2,18.3,0.691,10.9,17.5,69.7,9.5,8.2,21.5,21.2,0.774,0.75,10.8
