Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,19.5,0.353,17.2,0.378,58.1,0.479,51.6,0.565,20.7,19.2,19.2,23.3,0.73,12.2,16.5,71.9,7.4,7.5,19.4,25.1,0.36,0.2,-1.2
Air Force,22.9,0.356,17.5,0.29,50.9,0.554,53.5,0.521,16.9,16.9,15.8,18.6,0.715,12.1,10.9,65.2,5.6,7.8,21.3,22.3,0.452,0.4,0.7
Akron,25.3,0.345,19.8,0.355,57.4,0.509,56.2,0.484,15.7,18.6,19.4,15.2,0.747,11,12.2,68.8,8.6,7,23.2,21.7,0.655,0.667,-0.7
Alab A&M,18.3,0.35,22.4,0.343,57,0.469,55.3,0.487,19,17.6,19.4,22.8,0.64,14.8,15.2,72,8.5,9.8,21,22.9,0.393,0.857,-8.3
Alabama,29.4,0.339,19.9,0.284,62.1,0.546,64.5,0.419,18.9,20.5,23.7,21.6,0.728,14.3,12,77,11.1,9.4,29.7,23.6,0.839,1,11.8
Alabama St,19.6,0.303,20.4,0.341,58.8,0.405,58.9,0.487,17.8,16.3,18.3,20.4,0.705,13,12.2,70.1,10.4,10.8,21.7,25,0.233,0.333,-7.3
Albany,23.3,0.322,18.9,0.353,56.6,0.466,55.3,0.565,18.5,16.3,17.6,20.4,0.729,13,11.3,69.3,8.3,7.2,21.3,24.2,0.207,0.4,-5.6
*Alcorn State,17.6,0.296,22.3,0.333,58.7,0.461,54.6,0.525,19,17.6,20.6,21.3,0.722,12.6,14.5,70.3,10.5,9.1,20.8,21.7,0.6,0.75,-4.7
American,18.4,0.346,17.5,0.385,50.9,0.558,52,0.487,15.1,15.2,14.2,16.7,0.701,14,12.2,64.9,6.9,7.2,21.3,19.4,0.531,0.714,-5.4
App State,21.6,0.329,22.3,0.334,56.3,0.483,58.1,0.464,14,15.7,16.5,14.4,0.651,10.8,11.3,67.5,7.3,9,23.9,24.4,0.448,0.444,-1.6
AR Lit Rock,18.5,0.325,22.9,0.395,61.8,0.494,59.1,0.541,19.9,17.9,19.7,21.9,0.737,13.2,14.1,74.6,9.7,9.1,22.8,24.1,0.276,0.385,-7
Arizona,22.8,0.378,24.5,0.328,59.7,0.564,63.5,0.462,17.1,19.5,21.9,16.5,0.717,13.5,12.5,74.8,9,8.8,27.3,21.8,0.807,0.8,8.9
Arizona St,23.7,0.313,23.1,0.334,60.5,0.485,58.7,0.433,18.6,17.9,18.4,19.4,0.695,11.9,14.5,72.1,9.2,10,24.1,24.7,0.645,0.667,7.1
Ark Pine Bl,24.4,0.311,19.4,0.345,56.3,0.44,54.3,0.511,20.6,16.9,19,23.5,0.741,15.3,15.2,72.4,8.1,8.4,21.3,25.2,0.222,0.1,-8.4
Arkansas,16.1,0.321,17,0.309,57.3,0.535,55.9,0.465,19.1,18.9,22.1,21.5,0.69,12.7,14.5,72.3,8.6,7.9,23.9,21.5,0.613,0.286,9.8
Arkansas St,17.9,0.346,18.3,0.364,53.6,0.455,54.1,0.48,16.7,17,18.8,18.8,0.676,11.7,10.7,65.6,8.8,8.1,22.7,23.6,0.333,0.444,-4.9
Army,20.9,0.349,21.9,0.331,55.1,0.548,57.9,0.524,16.2,16.3,17.3,16.5,0.698,13,10.6,69.3,6.8,7.3,24.2,22.3,0.484,0.5,-6
Auburn,20.9,0.314,19.6,0.288,58.8,0.508,56.6,0.463,19.3,17.7,20.6,22,0.704,12.5,13.2,70.7,10,10.1,23.3,21.6,0.645,0.4,9.5
Austin Peay,21.9,0.312,18.8,0.344,56.8,0.46,53.4,0.564,16.8,14.8,14.9,19.8,0.74,11.5,12.9,67.6,7.6,8.3,19.3,24.4,0.214,0.333,-5.2
Ball State,20.4,0.372,19.1,0.382,55.3,0.518,57.9,0.476,16.8,20.4,23.7,18.3,0.684,12.1,11.5,69.8,9,8.2,23.2,21.9,0.621,0.444,-2.8
Baylor,26,0.368,21.3,0.32,57.8,0.511,56,0.532,17.4,18.6,21.7,17.7,0.746,12.4,13.5,70.1,10,8.4,20.7,20.4,0.71,0.667,11.7
Bellarmine,22.3,0.326,27.3,0.363,51.6,0.539,52.5,0.55,16.5,15.1,13.1,16.7,0.771,11.5,11.2,64.2,5,7.6,20.7,22.5,0.4,0.778,-2.6
Belmont,24.6,0.389,20,0.356,59.5,0.532,59.6,0.498,15.8,14.8,14.5,17.4,0.725,11.6,12.3,71.2,7,8.7,23.3,23.3,0.645,0.667,0.1
Beth-Cook,19.2,0.357,21.6,0.35,57.9,0.432,58.4,0.522,17.8,17.3,18.7,20.4,0.698,13,13.5,71.7,7.9,10,21,25.5,0.345,0.5,-8.8
Binghamton,16.9,0.319,20.3,0.333,57,0.501,57.2,0.5,18.2,16.3,16.2,20.5,0.714,13.1,10.5,69.6,7.9,8.2,23.8,22.3,0.393,0.546,-5.7
Boise State,21.5,0.357,20.7,0.303,56.7,0.508,56.8,0.478,16.5,16.5,17.1,15.5,0.745,11.4,11.9,68.8,7.7,6.9,25.4,22.5,0.733,0.625,5.5
