Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
N Carolina,17.6,0.318,22.9,0.35,63,0.485,59.8,0.47,16.8,18.1,21.5,16.1,0.668,14.6,13.7,73.6,13.8,7.9,25.9,21.2,0.621,0.444,11
N Colorado,23.6,0.373,12.6,0.313,54.6,0.477,56.6,0.498,18.5,17.1,17.7,19.7,0.682,14.3,11,70.2,7.2,6.6,23.1,23.2,0.421,0.5,-5.4
N Dakota St,20,0.341,21,0.337,55.2,0.499,57.1,0.495,15.9,16.6,18.6,15,0.76,12.5,9.2,68,8.3,5.6,26.3,22.7,0.556,0.5,-0.6
N Florida,26.6,0.362,18.3,0.339,55.3,0.512,60.8,0.501,16.9,15.2,14,19.3,0.722,14.7,11,69.8,7.3,10.9,21.1,23,0.333,0.625,-5.1
N Hampshire,21.3,0.319,18.9,0.341,58.3,0.44,52.9,0.486,18.3,19,19.1,20.8,0.677,11.1,12.1,69,9.1,6.2,23.8,25.7,0.5,0.571,-6
N Illinois,16.9,0.324,23.9,0.39,60.2,0.428,57.7,0.52,18,15.8,14.4,19.5,0.615,13.7,11.4,69.7,11.2,8.5,21.8,24.7,0.158,0.333,-3.4
N Iowa,22.5,0.322,24.2,0.341,57.8,0.511,57.3,0.542,15.8,15.7,15.3,15.9,0.679,13.2,11.6,70.1,7.8,6.8,24.7,24.6,0.348,0.286,1.4
N Kentucky,23.4,0.307,21.2,0.355,59.1,0.536,56.8,0.508,16.7,16.5,16.4,18.5,0.705,12.5,12.7,68.6,10.5,10,21.2,20.6,0.56,0.667,-4
N Mex State,27.8,0.319,19.1,0.318,57.1,0.508,53.1,0.505,17.8,17.9,17.7,18.1,0.724,12,12.2,66.8,10.6,7.1,22.1,21.4,0.529,0,-4.7
Navy,18.9,0.326,20.5,0.336,57.9,0.506,52.8,0.537,16.7,19.7,19.1,17.2,0.709,12.4,15.3,69.8,9.8,6.2,22.6,22.6,0.833,1,-3.9
NC A&T,20.2,0.299,22.9,0.361,60.3,0.455,60.4,0.504,17.7,19.2,21.8,18.7,0.669,13.7,17.7,75.4,9.3,11.1,21.1,26.9,0.474,0.667,-8.5
NC Central,20,0.331,20,0.342,55.3,0.453,55.7,0.509,20.9,18.8,19.1,21.3,0.702,14.8,14.5,71.2,7.7,9.4,20.1,24.4,0.308,0.667,-9.3
NC State,18.6,0.359,19.9,0.342,57,0.526,56.6,0.512,16,17.2,17.7,16.1,0.702,12.8,14.8,70.1,8.2,9,21.2,21.5,0.56,0.556,8.1
NC-Asheville,22.5,0.358,18.5,0.324,57.6,0.552,59.6,0.502,18.4,16.5,17.4,19.3,0.606,15.1,14,73.1,7.8,9.8,21.6,23.2,0.5,0.333,-5.8
NC-Grnsboro,25.4,0.299,22.8,0.314,65.1,0.499,55.1,0.489,18.1,15.9,15.5,20.1,0.683,11,14.9,72,11.2,7.7,24.8,24.7,0.7,0.5,-0.2
NC-Wilmgton,21.3,0.34,17.6,0.312,58.6,0.472,58.3,0.538,18.1,18.8,21.8,18.5,0.773,11.4,13.4,71.8,8.1,9.1,21.1,24.8,0.375,0,-5.2
Neb Omaha,15.9,0.335,21.8,0.384,59.8,0.448,60,0.512,18.8,17.4,17.4,18.7,0.688,13.1,12.1,73.3,7.3,8.2,24.6,27.1,0.2,0.444,-2.4
Nebraska,25,0.332,27.9,0.313,58.8,0.471,62.1,0.521,17.8,17.2,18.2,17.7,0.639,14.3,13.2,74.5,7.2,9.2,25.6,27.6,0.231,0.333,9.8
Nevada,21.8,0.355,24,0.336,55.4,0.5,55.3,0.469,20.3,19.5,21.6,22.9,0.763,12.8,12.5,71.5,6.7,7.4,25.4,23.6,0.6,0.375,3.4
New Mexico,17.4,0.268,22.8,0.349,57.7,0.455,55.7,0.536,18.8,18.1,19,19.9,0.604,14.9,13.7,70.7,10.4,8.5,21.9,24.8,0.2,0,-3
New Orleans,16.8,0.339,19.3,0.325,59,0.528,59.8,0.526,21.2,18,19.5,23,0.739,16.8,15.9,76.9,7.8,10,23.1,22.4,0.375,0.2,-7.4
Niagara,20.5,0.313,22.1,0.339,55,0.464,53.4,0.485,17,18.5,19,17.4,0.708,10,13.2,66.7,6.7,8.6,22,25.7,0.45,0.5,-4.6
Nicholls St,24.2,0.318,21.8,0.348,64,0.53,60.3,0.475,18.7,17.2,17.8,20.7,0.67,13.2,15.5,76.6,9.5,8.7,25.5,25.4,0.708,0.8,-5.7
NJIT,20.5,0.305,20.2,0.332,57.3,0.46,56.1,0.538,17.7,19.1,19.6,16.5,0.691,11.2,14.4,70.1,7.7,8,21.2,26.7,0.368,0.5,-4.3
*Norfolk St,21.2,0.372,26.3,0.318,59.4,0.447,57.3,0.475,19.7,19.2,22,23.3,0.708,12.7,14.7,74.4,8,8.9,24.3,24.9,0.652,0.778,-7.5
North Dakota,21.7,0.337,18.6,0.384,55.9,0.487,58.4,0.511,17.2,18.3,19.3,17.8,0.698,13.1,11.8,71.3,6.7,7.5,22.9,25.2,0.346,0.667,-2.5
North Texas,20.1,0.372,19,0.326,53.4,0.527,53.6,0.451,15.8,14.8,14.4,16.4,0.746,13,13.6,66.5,7.3,8,23.1,20.4,0.63,0.5,4.3
Northeastrn,24.1,0.354,18.4,0.324,54.9,0.503,58.4,0.482,15.7,15.5,14.3,17.1,0.742,13.5,11.8,70.1,5.8,7.6,23.9,24.9,0.526,0.8,1
Northwestern,23.3,0.346,24.3,0.332,57.6,0.491,57.2,0.505,17.8,16.2,15.4,19.3,0.715,12,12.6,71.3,5.6,7.7,24.4,25.9,0.348,0.375,11.2
Notre Dame,24.7,0.368,23,0.366,56.9,0.529,64,0.485,12.8,15.2,14.7,12.6,0.773,10.6,8.6,68.5,6.5,9.6,25.2,24.6,0.423,0.429,9.7
NW State,20.6,0.347,21.2,0.328,61.4,0.473,61.7,0.558,18.8,16.9,18.5,21.6,0.675,14.5,13.4,75.7,8.6,10.1,23.4,26.6,0.357,1,-5.9
Oakland,25.9,0.333,27.6,0.373,61.8,0.477,64.6,0.55,14.7,18.1,20.5,13.7,0.706,13,13.7,74.3,9.9,11,22.1,25.1,0.4,0.6,-1.7
Ohio,23.8,0.356,23.6,0.336,60.5,0.555,58.6,0.51,15.9,17.5,17.7,17.2,0.708,12.2,13.7,72.6,8.4,7.9,23.7,22.3,0.667,0.75,2.4
Ohio State,22.6,0.36,22.6,0.34,57.6,0.522,58.7,0.472,18.4,19,21.4,19.7,0.756,10.6,10.1,70,8.4,8.1,25.1,22.1,0.677,0.417,12.7
Oklahoma,23,0.341,23.1,0.357,60.4,0.506,60.3,0.463,14.7,16.4,17.7,14.3,0.745,11,12.9,71.3,8.5,8.6,24.5,24.9,0.593,0.462,11.2
Oklahoma St,19.1,0.332,23.2,0.32,59.3,0.519,62.3,0.465,17.2,18.4,22.3,19.5,0.71,15.6,14.7,76.3,9.4,9.7,25.6,22.8,0.7,0.667,11.5
Old Dominion,17.2,0.294,23.8,0.355,56.9,0.506,56.5,0.476,15.7,16.1,17.8,16.6,0.707,12.7,13.3,69.5,8.9,7.8,24.4,23.7,0.636,0.875,0.7
Oral Roberts,28.5,0.377,19.8,0.344,61.2,0.499,63.1,0.494,17.4,16.8,17.1,19.9,0.822,11.3,13.5,74.8,6.5,10.5,23.4,25.5,0.577,0.539,0.3
Oregon,22.2,0.377,21.8,0.342,59,0.529,56.1,0.504,15.5,15.7,15.3,15,0.711,11.4,13.8,69.3,8.5,7.6,22.2,22,0.75,0.833,10
Oregon St,19.6,0.351,21.2,0.306,55.5,0.47,54.7,0.504,18.9,18.1,19.3,21,0.764,11.7,11.9,67.4,9.1,8.9,22.4,22.5,0.594,0.571,9.7
Pacific,17.2,0.297,22.8,0.353,60.4,0.491,55.8,0.507,18.8,16.9,16.2,18.5,0.665,11.6,12.9,70.9,8.7,6.6,23,24.1,0.471,0.333,2.8
Penn State,26.2,0.338,21.5,0.345,62.5,0.458,55.9,0.539,17.8,17.3,17.4,18.8,0.738,11.4,13.9,71.9,10,7,23.2,24.6,0.44,0.455,12.6
Pepperdine,21.5,0.329,22.6,0.288,59.4,0.524,60,0.541,19.2,19.1,18.9,20.4,0.778,13,13.2,74.4,7,8.3,25.1,24.7,0.52,0.286,3.5
Pittsburgh,19.4,0.338,23,0.323,58.3,0.478,56.8,0.511,17.3,17.5,21.5,18.9,0.664,12.6,12,70,10.8,8,24,22.8,0.455,0.4,7.7
Portland,21.6,0.338,25.4,0.376,56.5,0.436,62.9,0.606,16.3,18.3,19.2,14.6,0.791,13.9,13.1,74.4,4.9,8.9,20.6,28.3,0.167,1,-4.6
Portland St,22.8,0.292,16.6,0.361,58.7,0.448,50.3,0.491,21.4,19.1,20.3,23.5,0.674,14.1,15.9,71.8,10.2,5.9,21.8,24.9,0.333,0.4,-6.6
Prairie View,21.8,0.304,17.5,0.318,60.2,0.53,52.2,0.472,20.6,15.2,16.3,24,0.655,13.7,18.2,72.1,10,9.3,22.5,23.1,0.762,0.667,-9.1
Presbyterian,18.9,0.303,18.4,0.349,53.8,0.473,50.3,0.533,19.8,18.7,18.9,21,0.685,15.4,14.9,68.4,9.6,7,20.6,21.7,0.286,0.167,-8.8
Princeton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Providence,19.7,0.32,19.9,0.297,58.8,0.485,59,0.506,17,17.7,18.6,17.8,0.7,11.8,11.5,70.2,9.2,8.8,23.7,24.1,0.5,0.625,9.5
Purdue,21.5,0.333,25.6,0.318,57,0.517,56.4,0.497,17.5,18.4,18.1,17,0.711,12.5,11.3,68.2,10,7.4,24.6,21.3,0.643,0.556,11.5
Quinnipiac,23.7,0.324,21.3,0.301,57.2,0.457,61.9,0.437,19.1,18.3,20.2,20.2,0.688,14.2,12.6,73.9,6.9,10.4,27.6,27.6,0.409,0.5,-5.5
Radford,18.6,0.309,22.5,0.372,51.4,0.529,55.6,0.46,16,18.9,20.7,13.9,0.689,15.3,11.8,67.4,8.8,6.9,24,19.9,0.52,0.5,-6.3
Rhode Island,18.3,0.312,22.5,0.33,57.4,0.503,59.8,0.468,17.8,19,22.3,20,0.668,14.1,12.6,73.3,9.1,8.4,26.2,23.6,0.4,0.167,5.8
Rice,28.1,0.361,21.8,0.358,57.6,0.512,62.1,0.507,13.9,15.5,15.1,13.7,0.729,14.8,12.1,71.6,8,9,24.2,24.1,0.48,0.5,-1.8
Richmond,20.5,0.348,20.6,0.318,57.3,0.535,56,0.549,15.9,15.4,18,16.4,0.734,10.4,15,70.3,5.8,8.5,22.1,25.1,0.591,0.25,5.7
Rider,17.9,0.353,22.7,0.353,57.3,0.462,56.5,0.536,18.7,17.2,16.6,20.3,0.733,12.7,11.9,70.3,7.7,7.7,23,24.2,0.261,0.2,-4
Rob Morris,20.8,0.365,22.3,0.389,61.1,0.483,59.5,0.524,18.6,15.3,15.9,20.6,0.655,13.5,13.3,72.6,9.6,10.1,21.5,24.4,0.167,0.143,-4.5
Rutgers,19.7,0.312,20.5,0.323,59,0.517,57.6,0.467,17.5,16.1,16,18.7,0.636,11.5,12.9,70,8.4,9,24.5,24,0.571,0.714,12.3
S Alabama,25.4,0.351,30.2,0.336,57.5,0.494,60.8,0.49,15.7,15.3,17.8,15,0.722,12.2,13.3,70.3,7.9,10.8,23.5,24.4,0.542,0.7,-4
S Car State,21.6,0.317,20.9,0.356,57.4,0.431,57.2,0.566,18.6,16.6,15.8,20.6,0.621,17.3,16.4,73.8,8.3,9.8,19.7,26.2,0.056,0,-7.4
S Carolina,22.2,0.305,21.6,0.368,65,0.472,58.2,0.52,19.1,17.6,18.1,22.7,0.654,14.9,16.6,77.1,11,8.8,21.4,25,0.286,0,9
S Dakota St,20,0.409,24,0.355,56.9,0.539,60.4,0.499,16.3,19.3,21.6,15.9,0.716,12.5,11,73.1,6.4,6,26.2,22.9,0.682,0.667,0
S Florida,19,0.324,23.1,0.346,57.6,0.433,55.8,0.515,17.4,18.2,19.9,18.7,0.632,14.2,12.1,70.2,10.3,7.4,23,22.8,0.381,0.429,3.9
S Illinois,21.5,0.372,22.4,0.344,51.6,0.497,55.4,0.541,14.2,15.4,15.4,13.2,0.661,12.2,12.6,66.8,4.5,7.2,22.2,25.4,0.44,0.714,0.2
S Methodist,21.8,0.35,22.4,0.352,58.8,0.519,57.4,0.439,17.5,18.2,18.4,20.2,0.728,14,14.3,72.5,8.8,9.1,24.6,22.3,0.647,0.5,6.4
S Mississippi,16.6,0.315,25.1,0.337,55.2,0.473,56,0.501,16.2,15.3,15.8,16.5,0.69,14.2,12.9,70,6.5,7,25.2,24.2,0.261,0.4,-2.4
S Utah,24.6,0.334,22.2,0.358,59.1,0.54,58.9,0.504,17.5,20.1,23.3,18.4,0.762,11.4,12.2,73,8.4,7.1,24.9,22.4,0.79,0.75,-5.4
Sac State,17.4,0.377,18.8,0.366,57,0.48,54.8,0.56,18.2,17,17.9,17.6,0.678,10,12.6,68.2,7.4,7.4,19.9,24.7,0.333,0.5,-4.1
Sacred Hrt,24.1,0.329,20.6,0.329,58.1,0.471,62.2,0.513,16.6,18.1,19.5,17.2,0.741,12.9,10.6,71.2,9.2,9.8,23,24.3,0.5,1,-6.8
Saint Louis,18.8,0.348,20.2,0.336,60.4,0.513,53,0.47,17.1,16.2,18,19.5,0.704,12.1,13.6,70.2,10.7,6,24.8,21.4,0.667,0.5,5.1
Sam Hous St,25.2,0.348,21.2,0.303,61,0.491,58.1,0.503,20.7,17.3,18.3,23,0.708,14.9,16.2,74.9,9.4,10.6,22.6,24.5,0.625,0.6,-3.8
Samford,24.7,0.283,28.4,0.35,63.4,0.513,60.1,0.531,20.9,16.8,17.2,22.8,0.678,16.2,14,77.5,9.5,8.1,25.9,25.9,0.235,0.4,-3.4
San Diego,19.3,0.304,18.6,0.385,60.5,0.468,58.7,0.512,18,16.4,15.5,19.9,0.65,13.2,13.3,74.1,6.4,7.8,23.5,28.5,0.214,0,2.5
San Diego St,23,0.368,23.9,0.339,57,0.504,52,0.448,18.5,18.3,19,16.9,0.715,11.1,15,68.7,8.3,6.5,23.5,21.9,0.815,0.714,5.7
San Fransco,30.4,0.341,15,0.326,60.6,0.515,53.6,0.501,19.3,14.9,13,21.4,0.717,11.7,13.8,71.1,7.3,6.4,22.9,25.4,0.44,0.333,4.2
San Jose St,23.2,0.316,25.8,0.322,58.6,0.429,66,0.553,16.7,16.9,17.6,18.2,0.656,12.7,10.4,73.2,6.6,11.7,22.9,29.6,0.158,0.25,-5.1
Santa Clara,17.9,0.299,21.5,0.319,56.1,0.49,60.7,0.472,17.9,21.5,22.4,18.3,0.68,12.8,12.1,72.9,6.9,8.3,26.6,26.3,0.579,0.833,0.4
SC Upstate,22,0.339,20.7,0.347,54.9,0.477,56.1,0.546,18.5,16.3,16.4,19.8,0.725,14.3,12.9,70.2,6.6,8.3,21.8,24,0.227,0.167,-6.1
SE Louisiana,23.3,0.292,21.9,0.358,57.6,0.465,55.8,0.562,19.6,21.6,23.6,21.2,0.678,15.9,16,74.1,10.3,8.3,20.7,25.1,0.308,0.444,-6.1
SE Missouri,21.6,0.352,19.6,0.362,54.4,0.48,54.7,0.506,19,19,22,21.3,0.671,15.4,14,72,8.2,6.9,24.2,22.8,0.407,0.7,-5.2
Seattle,25.8,0.318,19.6,0.343,61.8,0.456,54.7,0.499,19.5,18.7,17.6,22.1,0.728,11.1,15.4,72.5,9,8,20.9,27.3,0.421,0.167,-5.6
Seton Hall,20.8,0.321,20,0.366,56.5,0.511,58.4,0.466,16.4,17.8,20.1,15.9,0.732,13,13.2,70.4,8.9,8.4,23.2,22.4,0.519,0,10.1
Siena,18.5,0.344,18.2,0.324,52.6,0.522,57.6,0.448,15.5,18.2,19.6,14.2,0.658,12.9,11.8,67.9,7.3,7.8,24.7,21.8,0.706,0.5,-5.3
SIU Edward,18.7,0.312,21.8,0.342,53.8,0.505,57.6,0.534,17,17.3,17.8,19.4,0.684,15.8,13.6,70.8,7.6,9.4,21.4,22.9,0.32,0.4,-5.8
South Dakota,19.3,0.391,22.8,0.354,57.1,0.505,58.6,0.473,18.9,18.9,18.9,20.7,0.784,10.8,10.8,71.3,6,7.5,25.8,24.5,0.542,0.571,-2
Southern,16.9,0.323,18.3,0.33,56.7,0.478,57.3,0.462,20.6,18.6,22.9,23.4,0.672,16.3,15.3,75,8.8,8.6,25.2,23.4,0.421,0.2,-10.2
St Bonavent,18.6,0.344,23.9,0.307,58.3,0.489,55.5,0.452,15.3,15.6,16.3,15.9,0.738,10.7,12.5,66.8,9.9,8.9,24.2,21.7,0.762,0.6,6.4
St Fran (NY),18.7,0.331,20.2,0.381,63.9,0.494,59.2,0.504,20.2,17.8,19.6,23.2,0.735,12.1,14.7,75.7,9.7,9.1,23.7,24.9,0.474,0.8,-7.1
St Fran (PA),19,0.309,22.8,0.313,57.5,0.485,59.1,0.543,17.2,17.9,19.4,17.4,0.714,14.2,13.1,72,8.6,8.8,23.8,23.5,0.273,0.167,-5.6
St Johns,21.5,0.344,22.3,0.342,64.6,0.498,60.5,0.533,18.2,16.7,18.5,19.3,0.749,12.6,16.4,76.7,9.3,9.3,23.1,25.3,0.593,0.556,8.1
St Josephs,30.5,0.314,23.5,0.351,61.9,0.501,63.9,0.541,17.9,16.1,16.6,20.1,0.725,14.1,13,76.5,6.9,10.3,24,28.4,0.25,0.4,4.7
St Marys,21,0.294,14.7,0.352,55.4,0.501,54.1,0.458,16.7,15.8,15.3,15.2,0.734,11.3,12.1,66.9,7.4,6.1,24.7,23.1,0.583,0.667,6.3
St Peters,19.1,0.323,19.8,0.336,55.4,0.441,52.9,0.416,20,17.4,18.1,20.9,0.698,14.8,15.3,69.5,9.3,8.7,24.8,24,0.56,0.417,-4.7
Stanford,16.7,0.322,23.7,0.336,54.1,0.528,59.6,0.469,16.6,18.3,19.7,16.1,0.717,14.9,14.4,72.4,6.5,8.6,24.2,22.1,0.519,0.4,9.5
Ste F Austin,13.3,0.322,18.2,0.345,55.6,0.571,53.3,0.505,20,20.7,24.4,22.5,0.68,17.1,17.9,74.8,9.4,7.2,21.9,18.2,0.722,0.333,-5.7
Stetson,24.3,0.358,21.5,0.347,57.3,0.48,57.2,0.526,16.8,15.2,16.1,17.4,0.703,13.5,11.9,69.8,8.4,7.8,22.8,23.7,0.417,0.375,-4.9
Stony Brook,20.7,0.292,22.6,0.339,57.1,0.473,57,0.466,16.9,17.9,18.9,16.9,0.68,13.7,12.9,70.1,9.6,7.8,24.9,23.9,0.364,0.167,-3.8
Syracuse,24.3,0.349,27.3,0.317,60.1,0.505,61.6,0.484,14.6,15.6,17,14.8,0.782,11.3,14,71.3,8.5,10.8,23.2,23,0.643,0.714,9.7
Tarleton State,14.6,0.374,24.1,0.363,50.9,0.456,49.7,0.5,20.3,18.6,19.4,22.6,0.742,12.1,15.4,67.3,4.4,9.1,20.1,24.6,0.333,0,-5.9
Temple,21,0.342,22.4,0.343,54.3,0.438,59,0.448,17.6,18.1,21.1,18.7,0.716,13.3,10.9,70,7.8,8.5,25.3,24.3,0.313,0,4.4
Tennessee,19.9,0.331,21,0.324,57.6,0.496,55.3,0.449,16.4,19.3,19.8,16.9,0.746,12.5,15.7,70.4,9.5,8,23.2,22,0.667,0.4,9.9
Texas,24.1,0.356,19.4,0.317,57.3,0.525,58.4,0.453,19.7,17.8,19.4,21,0.71,14.6,12.6,71.9,9.4,8.8,26.1,21.7,0.704,0.643,11.5
Texas A&M,21.7,0.299,25.3,0.341,53.7,0.494,53.3,0.55,16.9,17.1,18.2,15.8,0.726,14.8,15.1,67.2,9.7,8.7,21.3,21,0.444,1,5.2
Texas State,14.3,0.394,20.4,0.353,53.1,0.491,50.3,0.475,16.4,15.9,14.4,16.8,0.719,13,14.7,65.8,7.3,7,21.5,20.3,0.739,0.667,-4.3
Texas Tech,18,0.354,20.2,0.342,57.7,0.478,52.9,0.455,17.3,19.9,21.9,18.8,0.71,10.8,16,69.2,10.2,8.1,22.1,22.1,0.621,0.4,11.6
TN Martin,20.6,0.332,23.7,0.374,57.7,0.433,55.4,0.582,17.9,16.4,16.3,20.2,0.712,14.5,14.3,70.3,9.5,9,19.7,24.5,0.304,1,-6.5
TN State,20.5,0.288,20.5,0.34,58,0.491,55.7,0.509,21,17.3,19,24.8,0.679,15.3,16.1,74.6,7.2,9.5,23,26,0.136,0.1,-6.2
